time,count,top_words
Fri Sep 07 01:00:00 UTC 2012,16,god=2_haha=2
Fri Sep 07 02:00:00 UTC 2012,9,""
Fri Sep 07 03:00:00 UTC 2012,10,""
Fri Sep 07 04:00:00 UTC 2012,3,amazing=2
Fri Sep 07 05:00:00 UTC 2012,6,""
Fri Sep 07 06:00:00 UTC 2012,15,как=3
Fri Sep 07 07:00:00 UTC 2012,56,это=4
Fri Sep 07 08:00:00 UTC 2012,52,view=2_sometimes=2_dream=2_read=2_bang=2
Fri Sep 07 09:00:00 UTC 2012,55,twitter=3_friends=3_weekend=3_last=3
Fri Sep 07 10:00:00 UTC 2012,53,googleplex=4
Fri Sep 07 11:00:00 UTC 2012,41,mountain=4_view=4
Fri Sep 07 12:00:00 UTC 2012,31,googleplex=4
Fri Sep 07 13:00:00 UTC 2012,45,jobs=4
Fri Sep 07 14:00:00 UTC 2012,58,instagram=2_shit=2_mind=2_wrong=2_deep=2
Fri Sep 07 15:00:00 UTC 2012,54,stanford=7
Fri Sep 07 16:00:00 UTC 2012,52,tire=3_favorite=3_stanford=3
Fri Sep 07 17:00:00 UTC 2012,89,quote=8
Fri Sep 07 18:00:00 UTC 2012,79,shoreline=15
Fri Sep 07 19:00:00 UTC 2012,103,fml=35
Fri Sep 07 20:00:00 UTC 2012,82,incubus=12
Fri Sep 07 21:00:00 UTC 2012,51,linkin=14
Fri Sep 07 22:00:00 UTC 2012,77,linkin=9
Fri Sep 07 23:00:00 UTC 2012,81,shoreline=21
Sat Sep 08 00:00:00 UTC 2012,41,amphitheatre=15_shoreline=15
Sat Sep 08 01:00:00 UTC 2012,18,night=3
Sat Sep 08 02:00:00 UTC 2012,10,show=2_heart=2_cryingbless=2
Sat Sep 08 03:00:00 UTC 2012,4,""
Sat Sep 08 04:00:00 UTC 2012,4,""
Sat Sep 08 05:00:00 UTC 2012,4,finish=2_western=2_start=2
Sat Sep 08 06:00:00 UTC 2012,6,""
Sat Sep 08 07:00:00 UTC 2012,16,罗姆尼的个人漏狗做的的确不错。。。=2_night=2
Sat Sep 08 08:00:00 UTC 2012,32,game=3_golden=3_gate=3
Sat Sep 08 09:00:00 UTC 2012,44,guys=4
Sat Sep 08 10:00:00 UTC 2012,41,norcal=3_tootsies=3_come=3
