time,count,top_words
Fri Sep 07 11:00:00 UTC 2012,2950,got=65_it's=65
Fri Sep 07 12:00:00 UTC 2012,2658,time=67
Fri Sep 07 13:00:00 UTC 2012,2557,it's=56
Fri Sep 07 14:00:00 UTC 2012,2816,time=61
Fri Sep 07 15:00:00 UTC 2012,2503,one=42
Fri Sep 07 16:00:00 UTC 2012,3211,nyfw=79
Fri Sep 07 17:00:00 UTC 2012,3608,brooklyn=71
Fri Sep 07 18:00:00 UTC 2012,3265,don't=67
Fri Sep 07 19:00:00 UTC 2012,3075,it's=57
Fri Sep 07 20:00:00 UTC 2012,3722,job=146
Fri Sep 07 21:00:00 UTC 2012,3796,got=75
Fri Sep 07 22:00:00 UTC 2012,4132,time=76
Fri Sep 07 23:00:00 UTC 2012,3968,don't=94
Sat Sep 08 00:00:00 UTC 2012,3479,don't=97
Sat Sep 08 01:00:00 UTC 2012,2618,night=72
Sat Sep 08 02:00:00 UTC 2012,1843,one=44
Sat Sep 08 03:00:00 UTC 2012,1026,ass=36
Sat Sep 08 04:00:00 UTC 2012,697,night=21
Sat Sep 08 05:00:00 UTC 2012,455,morning=12
Sat Sep 08 06:00:00 UTC 2012,373,morning=15
Sat Sep 08 07:00:00 UTC 2012,636,morning=27
Sat Sep 08 08:00:00 UTC 2012,1067,morning=45
Sat Sep 08 09:00:00 UTC 2012,1843,morning=65
Sat Sep 08 10:00:00 UTC 2012,2618,rain=88
Sat Sep 08 11:00:00 UTC 2012,2823,tornado=71
Sat Sep 08 12:00:00 UTC 2012,3218,don't=73
Sat Sep 08 13:00:00 UTC 2012,3017,don't=69
Sat Sep 08 14:00:00 UTC 2012,2897,brooklyn=77
Sat Sep 08 15:00:00 UTC 2012,3077,don't=62
Sat Sep 08 16:00:00 UTC 2012,2900,brooklyn=76
Sat Sep 08 17:00:00 UTC 2012,3787,tornado=120
Sat Sep 08 18:00:00 UTC 2012,3448,rain=86
Sat Sep 08 19:00:00 UTC 2012,3367,don't=77
Sat Sep 08 20:00:00 UTC 2012,3381,job=104
Sat Sep 08 21:00:00 UTC 2012,3421,it's=68
Sat Sep 08 22:00:00 UTC 2012,3612,don't=93
Sat Sep 08 23:00:00 UTC 2012,3555,don't=98
Sun Sep 09 00:00:00 UTC 2012,3106,night=67
Sun Sep 09 01:00:00 UTC 2012,2348,night=45
Sun Sep 09 02:00:00 UTC 2012,1742,night=47
Sun Sep 09 03:00:00 UTC 2012,1251,don't=34
Sun Sep 09 04:00:00 UTC 2012,713,one=22
Sun Sep 09 05:00:00 UTC 2012,519,it's=17
Sun Sep 09 06:00:00 UTC 2012,443,sleep=11
Sun Sep 09 07:00:00 UTC 2012,594,morning=37
Sun Sep 09 08:00:00 UTC 2012,948,morning=50
Sun Sep 09 09:00:00 UTC 2012,1678,morning=79
Sun Sep 09 10:00:00 UTC 2012,2413,morning=91
Sun Sep 09 11:00:00 UTC 2012,2828,jets=89
Sun Sep 09 12:00:00 UTC 2012,2031,jets=75
Sun Sep 09 13:00:00 UTC 2012,3374,jets=259
Sun Sep 09 14:00:00 UTC 2012,3461,jets=164
Sun Sep 09 15:00:00 UTC 2012,3363,jets=148
Sun Sep 09 16:00:00 UTC 2012,3455,jets=89
Sun Sep 09 17:00:00 UTC 2012,3443,brooklyn=82
Sun Sep 09 18:00:00 UTC 2012,3593,brooklyn=78_don't=78
Sun Sep 09 19:00:00 UTC 2012,3813,it's=80
Sun Sep 09 20:00:00 UTC 2012,4282,job=226
Sun Sep 09 21:00:00 UTC 2012,3929,don't=79
Sun Sep 09 22:00:00 UTC 2012,4288,don't=115
Sun Sep 09 23:00:00 UTC 2012,4264,got=110
