time,count,top_words
Fri Sep 07 05:00:00 UTC 2012,468,vai=12
Fri Sep 07 06:00:00 UTC 2012,711,morning=41
Fri Sep 07 07:00:00 UTC 2012,1658,morning=81
Fri Sep 07 08:00:00 UTC 2012,2361,morning=107
Fri Sep 07 09:00:00 UTC 2012,2428,morning=81
Fri Sep 07 10:00:00 UTC 2012,2767,haha=57
Fri Sep 07 11:00:00 UTC 2012,2927,thanks=59_work=59_people=59
Fri Sep 07 12:00:00 UTC 2012,2959,think=49
Fri Sep 07 13:00:00 UTC 2012,3162,lunch=69
Fri Sep 07 14:00:00 UTC 2012,3065,great=52
Fri Sep 07 15:00:00 UTC 2012,3147,please=79
Fri Sep 07 16:00:00 UTC 2012,3364,win=57
Fri Sep 07 17:00:00 UTC 2012,3370,haha=70
Fri Sep 07 18:00:00 UTC 2012,3173,olympic=66
Fri Sep 07 19:00:00 UTC 2012,3783,england=79
Fri Sep 07 20:00:00 UTC 2012,3153,england=66
Fri Sep 07 21:00:00 UTC 2012,4414,win=90
Fri Sep 07 22:00:00 UTC 2012,4020,well=80
Fri Sep 07 23:00:00 UTC 2012,3368,night=57
Sat Sep 08 00:00:00 UTC 2012,2185,think=43
Sat Sep 08 01:00:00 UTC 2012,1637,night=37
Sat Sep 08 02:00:00 UTC 2012,1167,please=31
Sat Sep 08 03:00:00 UTC 2012,989,believetourlatinoamerica=27
Sat Sep 08 04:00:00 UTC 2012,775,believetourlatinoamerica=34
Sat Sep 08 05:00:00 UTC 2012,591,price=26
Sat Sep 08 06:00:00 UTC 2012,536,cuenta=28
Sat Sep 08 07:00:00 UTC 2012,826,morning=43
Sat Sep 08 08:00:00 UTC 2012,1574,morning=64
Sat Sep 08 09:00:00 UTC 2012,2217,morning=96
Sat Sep 08 10:00:00 UTC 2012,2633,morning=64
Sat Sep 08 11:00:00 UTC 2012,2928,last=59
Sat Sep 08 12:00:00 UTC 2012,3172,greater=69
Sat Sep 08 13:00:00 UTC 2012,3133,greater=67
Sat Sep 08 14:00:00 UTC 2012,3166,greater=69
Sat Sep 08 15:00:00 UTC 2012,2915,greater=58
Sat Sep 08 16:00:00 UTC 2012,2872,greater=56
Sat Sep 08 17:00:00 UTC 2012,3303,tonight=64
Sat Sep 08 18:00:00 UTC 2012,3121,stadium=93
Sat Sep 08 19:00:00 UTC 2012,3104,stadium=71
Sat Sep 08 20:00:00 UTC 2012,3178,xfactor=151
Sat Sep 08 21:00:00 UTC 2012,3226,well=63
Sat Sep 08 22:00:00 UTC 2012,3648,night=86
Sat Sep 08 23:00:00 UTC 2012,3144,night=74
Sun Sep 09 00:00:00 UTC 2012,2288,night=58
Sun Sep 09 01:00:00 UTC 2012,1753,night=53
Sun Sep 09 02:00:00 UTC 2012,1152,night=33
Sun Sep 09 03:00:00 UTC 2012,1001,haha=27
Sun Sep 09 04:00:00 UTC 2012,674,night=20
Sun Sep 09 05:00:00 UTC 2012,464,price=15_sep=15
Sun Sep 09 06:00:00 UTC 2012,436,morning=16_rate=16
Sun Sep 09 07:00:00 UTC 2012,587,morning=27
Sun Sep 09 08:00:00 UTC 2012,1108,last=43
Sun Sep 09 09:00:00 UTC 2012,1659,last=83
Sun Sep 09 10:00:00 UTC 2012,2307,night=78
Sun Sep 09 11:00:00 UTC 2012,2583,happy=79
Sun Sep 09 12:00:00 UTC 2012,2874,bring=80
Sun Sep 09 13:00:00 UTC 2012,2872,pleasee=94
Sun Sep 09 14:00:00 UTC 2012,2848,want=84
Sun Sep 09 15:00:00 UTC 2012,2753,last=56
Sun Sep 09 16:00:00 UTC 2012,2744,well=50_think=50
Sun Sep 09 17:00:00 UTC 2012,1782,greater=37
Sun Sep 09 18:00:00 UTC 2012,2648,haha=54_think=54
Sun Sep 09 19:00:00 UTC 2012,3591,stadium=120
Sun Sep 09 20:00:00 UTC 2012,4294,xfactor=260
Sun Sep 09 21:00:00 UTC 2012,5535,coldplay=554
Sun Sep 09 22:00:00 UTC 2012,6348,fireworks=243
Sun Sep 09 23:00:00 UTC 2012,3963,amazing=92
