time,count,user_count,distance_median,distance_mean,distance_max
Wed Sep 05 09:00:00 UTC 2012,27,millenomi=9_mcolfer629=2_edthehoodlum=2_kblake=2_juliano_moraes=1_strlen=1_cindyretzer=1_TweetRye=1_schlakman=1_dresouzax=1_davidrstites=1,5.73340735408471,5.73340735408471,5.73340735408471
Wed Sep 05 10:00:00 UTC 2012,29,edthehoodlum=7_mcolfer629=3_joneciakeels=2_cindyretzer=2_WheresWyatt=2_alesplin=2_BigBird209=2_kblake=1_lucnightingale=1_tlampo=1_okamiNYC=1,0.32122772764388,0.32122772764388,0.32122772764388
Wed Sep 05 11:00:00 UTC 2012,33,_jonasf_=8_twit_ashutosh=4_devynndaniellee=3_pdparticle=2_pborgwat=2_ch3m1st=1_kblake=1_yatown_popular=1_stmpjmpr=1_spellingman=1_joeldev=1,2.93835048939251,2.93835048939251,5.74658653544355
Wed Sep 05 12:00:00 UTC 2012,32,_jonasf_=19_toddbodene=2_binder=2_devynndaniellee=1_Justafyah=1_pier_dr=1_millenomi=1_jeremy_david=1_BrianByrnePhoto=1_littlebluebro=1_tonytorres=1,0.157434811316633,0.157434811316633,0.157434811316633
Wed Sep 05 13:00:00 UTC 2012,12,_jonasf_=6_tlampo=3_schitter=1_antonioVasquezz=1_FelicityKay=1,0,0,0
Wed Sep 05 14:00:00 UTC 2012,0,"",0,0,0
Wed Sep 05 15:00:00 UTC 2012,0,"",0,0,0
Wed Sep 05 16:00:00 UTC 2012,10,_jonasf_=4_EmiiiSalgado=1_KenArnold1984=1_eschaton=1_potzer=1_leilanilenora=1_poitch=1,0,0,0
Wed Sep 05 17:00:00 UTC 2012,27,EmiiiSalgado=10_kblake=2_DrayneO=1_joeldev=1_george95014=1_alesplin=1_nathan_scott=1_chiarashine=1_dubculver_23=1_dprisoner=1_michaelshimmins=1,0,0,0
Wed Sep 05 18:00:00 UTC 2012,12,_jonasf_=2_ohdeargeegee=2_okamiNYC=2_Lammerding=1_DA_SenthilC=1_laurelwest=1_jingle_jeff=1_nathan_scott=1_1313Yuki=1,3.77825398024674,3.77825398024674,4.68331551389203
Wed Sep 05 19:00:00 UTC 2012,20,phoolakamal=3_iamKunalSheth=3_rayrosel=3_adwait=2_Tensai=2_dresouzax=2_KShen1=1_FelicityKay=1_eatteachblog=1_Savageau=1_nowbrewing=1,3.13841014996543,3.13841014996543,3.13841014996543
Wed Sep 05 20:00:00 UTC 2012,15,edwardsanchez=4_KenArnold1984=2_shingujikasumi=1_deancurtis23=1_tlampo=1_adwait=1_iamKunalSheth=1_rocky_ong=1_Tensai=1_antonioVasquezz=1_topix_sj=1,0,0,0
Wed Sep 05 21:00:00 UTC 2012,16,phoolakamal=5_edwardsanchez=3_JohnsonHipona=1_AshleyNave95=1_APad32=1_Lammerding=1_eriqus=1_kayoko_w=1_laydiekay=1_an0nymity=1,0,0,0
Wed Sep 05 22:00:00 UTC 2012,28,devynndaniellee=12_toddbodene=3_antonioVasquezz=3_TweetRye=2_twit_ashutosh=2_sierralionphoto=2_JobsDirectUSA=1_poitch=1_AmericaHires=1_CECCareers=1,0.136346723348394,0.136346723348394,0.136346723348394
Wed Sep 05 23:00:00 UTC 2012,11,toddbodene=5_antonioVasquezz=2_CECCareers=1_bigskapinsky=1_twit_ashutosh=1_sierralionphoto=1,0.248123683214792,0.248123683214792,0.248123683214792
Thu Sep 06 00:00:00 UTC 2012,1,antonioVasquezz=1,0,0,0
Thu Sep 06 01:00:00 UTC 2012,4,WheresWyatt=4,0,0,0
Thu Sep 06 02:00:00 UTC 2012,0,"",0,0,0
Thu Sep 06 03:00:00 UTC 2012,0,"",0,0,0
Thu Sep 06 04:00:00 UTC 2012,0,"",0,0,0
Thu Sep 06 05:00:00 UTC 2012,1,Samsonov_Stas=1,0,0,0
Thu Sep 06 06:00:00 UTC 2012,8,toddbodene=3_edwardsanchez=2_sircoolio=2_Ouak9=1,0,0,0
Thu Sep 06 07:00:00 UTC 2012,13,estella_liu=3_mcolfer629=3_edwardsanchez=2_aakela=1_zephanjenkins=1_eatteachblog=1_twit_ashutosh=1_gosubha=1,0,0,0
Thu Sep 06 08:00:00 UTC 2012,4,jesstit=2_tdmontgomery=1_hober=1,0.360229250653901,0.360229250653901,0.360229250653901
Thu Sep 06 09:00:00 UTC 2012,11,Samsonov_Stas=2_KevinKeefe=1_AshleyNave95=1_xooo0o0oox=1_geppyp=1_Go_Giants_55=1_justcall=1_joeldev=1_WheresWyatt=1_Behrens=1,0,0,0
Thu Sep 06 10:00:00 UTC 2012,28,_jonasf_=9_devynndaniellee=4_joeldev=3_WheresWyatt=1_AdelineYeh=1_lucnightingale=1_JOontheGO_1=1_kblake=1_faisalyaqub=1_dascola=1_Behrens=1,2.88618128215514,2.88618128215514,5.48240628695324
