_id,text,lat,lon,user,created_at,id
5028ab518aef42214e001e52,@unitechy No, I'm not saying this. In fact, with a $50/yr fee, it's highly unlikely to grow as big as Twitter or Facebook anytime soon …,52.5183582,13.4309557,janole,Mon Aug 13 07:22:58 UTC 2012,234912918494396416
5028b64a8aef42214e001ec0,@onlyonetalya he was under his new bands name but singing an oasis song. I mean I guess he had to sing that song but he's soooo annoying,52.51957426,13.40272067,rose_silford,Mon Aug 13 08:09:47 UTC 2012,234924698943766529
5028bbfc8aef42214e001eef,When you're clocking up at least 15 updates in a day, that's when I know you have to be deleted off BBM,52.46724,13.32149,Lucymmarie,Mon Aug 13 08:34:06 UTC 2012,234930816092884992
5028e6518aef42214e0020cc,#nowplaying #theblackeyedpeas ~ The Black Eyed Peas | I Gotta Feeling ||| #bbradio plays the #hits,52.383444,13.119561,_BB_RADIO_MUSIC,Mon Aug 13 11:34:42 UTC 2012,234976265810083842
502cf9438aef427b520014e9,@Will_Lynch I could do the exact same order again... right now...,52.5406153,13.4066178,Plaslaiko,Thu Aug 16 13:44:36 UTC 2012,236096121154453504
502cfacd8aef427b52001500,Gosh some ppl are so freakin annoying. Can I bitchslap u, pls ?!,52.54734564,13.4090218,TRANGLEEE,Thu Aug 16 13:51:10 UTC 2012,236097775035621376
502cfb448aef427b52001504,#nowplaying #lilycollins ~ Lily Collins | I Believe In Love ||| Radio TEDDY - In #Brandenburg #GER auf 90.2,52.387139,13.116468,RadioTeddyMusic,Thu Aug 16 13:53:10 UTC 2012,236098275588071424
502d04ae8aef427b52001569,It's the third day in a row in a fucking shopping center!! What am I doing wrong? :D #,52.50271635,13.33998706,mathisvanmeegen,Thu Aug 16 14:33:19 UTC 2012,236108379674783744
502d106f8aef427b520015f7,@JaredMacNeil I just find it ridiculous that it has to come to this ! We just wanna watch hockey!,52.49773993,13.29528576,cuzzybru,Thu Aug 16 15:23:28 UTC 2012,236121003468652545
502d11fd8aef427b52001602,I waiting for special party in Berlin!! Ohhhhh my god...,52.52991242,13.40933444,mrlegramandi,Thu Aug 16 15:30:06 UTC 2012,236122670733873152
502d141a8aef427b52001614,@JessicaMayStryd I reckon moto gp lads are a tad more together!,52.53306588,13.28625078,cuzzybru,Thu Aug 16 15:39:07 UTC 2012,236124942096277504
502d14458aef427b52001616,@I_LOVE_NY @Nustering @BryantParkNYC I agree absolutly,52.4847179,13.330976,ms1804,Thu Aug 16 15:39:50 UTC 2012,236125122723975168
502d14e88aef427b52001620,#nowplaying #alphaville ~ Alphaville | I Die For You Today ||| BB RADIO - #bbradio #ger #radio #stream,52.383444,13.119561,_BB_RADIO_MUSIC,Thu Aug 16 15:42:33 UTC 2012,236125803941883904
502d192d8aef427b52001651,@as_j @msjen I wonder why? Because Qt was going to be sold?,52.5223523,13.441018,janole,Thu Aug 16 16:00:46 UTC 2012,236130387879919616
502d21298aef427b52001698,Cant wait to be able to eat American food again. I HATE foreign food. #nasty,52.48798598,13.37610825,TwoLostSoulsx4,Thu Aug 16 16:34:51 UTC 2012,236138964485021698
502d24088aef427b520016b6,Although I do kind of miss finishing at 5pm sometimes....,52.52893031,13.40227174,rose_silford,Thu Aug 16 16:47:05 UTC 2012,236142046048563200
502d262d8aef427b520016cd,#nowplaying #lykkeli ~ Lykke Li | I Follow Rivers ||| BB RADIO - xoxoxoxoxoxoxoxoxoxoxox,52.383444,13.119561,_BB_RADIO_MUSIC,Thu Aug 16 16:56:14 UTC 2012,236144349057003520
502d2f878aef427b52001735,@NikeSupport How can I earn a 'fastest 1K' badge, when I was a minute faster a week ago? Is your calculation wrong?,52.55252262,13.41620394,NilsClark,Thu Aug 16 17:36:08 UTC 2012,236154386945036288
