time,count,fsq_count,CategorieParents,Categories
Wed Sep 05 13:00:00 UTC 2012,35,5,Shops & Services=3,Gym=1_Grocery Store=1_Train Station=1_Paper / Office Supplies Store=1_Tech Startup=1
Wed Sep 05 14:00:00 UTC 2012,0,0,"",""
Wed Sep 05 15:00:00 UTC 2012,0,0,"",""
Wed Sep 05 16:00:00 UTC 2012,46,2,Shops & Services=1_Food=1,Café=1_Spa / Massage=1
Wed Sep 05 17:00:00 UTC 2012,74,6,Food=2_Professional & Other Places=2,New American Restaurant=1_Mediterranean Restaurant=1_Home (private)=1_College Engineering Building=1_Post Office=1_Tech Startup=1
Wed Sep 05 18:00:00 UTC 2012,74,8,Arts & Entertainment=3_Food=3,Concert Hall=1_Wine Bar=1_Community College=1_Clothing Store=1_Asian Restaurant=1_Music Venue=1_Performing Arts Venue=1_Coffee Shop=1_Hotel=1_Tapas Restaurant=1
Wed Sep 05 19:00:00 UTC 2012,81,8,Colleges & Universities=2_Professional & Other Places=2,Office=2
Wed Sep 05 20:00:00 UTC 2012,89,5,Food=2,French Restaurant=1_Pizza Place=1_Residential Building (Apartment / Condo)=1_Gym=1_Office=1
Wed Sep 05 21:00:00 UTC 2012,62,2,Professional & Other Places=1_Food=1,Burger Joint=1_Office=1
Wed Sep 05 22:00:00 UTC 2012,71,1,Nightlife Spots=1,Bar=1
Wed Sep 05 23:00:00 UTC 2012,58,1,Outdoors & Recreation=1,Neighborhood=1
Thu Sep 06 00:00:00 UTC 2012,17,0,"",""
Thu Sep 06 01:00:00 UTC 2012,6,0,"",""
Thu Sep 06 02:00:00 UTC 2012,5,0,"",""
Thu Sep 06 03:00:00 UTC 2012,8,0,"",""
Thu Sep 06 04:00:00 UTC 2012,9,0,"",""
Thu Sep 06 05:00:00 UTC 2012,8,0,"",""
Thu Sep 06 06:00:00 UTC 2012,9,2,Food=2,Coffee Shop=1_Greek Restaurant=1
Thu Sep 06 07:00:00 UTC 2012,34,6,Colleges & Universities=2_Professional & Other Places=2_Medical Centers=2_Food=2,College Lab=1_Café=1_Coffee Shop=1_College Administrative Building=1_Doctor's Office=1_Emergency Room=1
Thu Sep 06 08:00:00 UTC 2012,39,3,Food=3,Coffee Shop=3
Thu Sep 06 09:00:00 UTC 2012,40,3,Professional & Other Places=3,Office=2
Thu Sep 06 10:00:00 UTC 2012,41,5,Professional & Other Places=3,Mexican Restaurant=1_Building=1_College Bookstore=1_Tech Startup=1_Post Office=1
Thu Sep 06 11:00:00 UTC 2012,47,4,Food=2,Coworking Space=1_Electronics Store=1_Coffee Shop=1_Juice Bar=1
Thu Sep 06 12:00:00 UTC 2012,42,13,Food=6,Japanese Restaurant=1_College Football Field=1_Sushi Restaurant=1_Sandwich Place=1_University=1_College Academic Building=1_Music Venue=1_Gym=1_Art Museum=1_Café=1_Mall=1_American Restaurant=1_Art Gallery=1_Italian Restaurant=1
Thu Sep 06 13:00:00 UTC 2012,54,11,Professional & Other Places=5_Food=5,Office=3
Thu Sep 06 14:00:00 UTC 2012,38,3,Shops & Services=1_Colleges & Universities=1,University=1_Spa / Massage=1
Thu Sep 06 15:00:00 UTC 2012,52,0,"",""
Thu Sep 06 16:00:00 UTC 2012,100,4,Offices=3_Professional & Other Places=3,Tech Startup=3
Thu Sep 06 17:00:00 UTC 2012,89,6,Professional & Other Places=3,Office=2
Thu Sep 06 18:00:00 UTC 2012,60,6,Food=3,Coworking Space=1_Latin American Restaurant=1_Performing Arts Venue=1_American Restaurant=1_Italian Restaurant=1_Cafeteria=1
