time,count,red,green,blue
Fri Sep 07 10:00:00 UTC 2012,40,154,140,135
Fri Sep 07 11:00:00 UTC 2012,60,151,133,128
Fri Sep 07 12:00:00 UTC 2012,52,146,135,133
Fri Sep 07 13:00:00 UTC 2012,57,152,136,131
Fri Sep 07 14:00:00 UTC 2012,81,149,132,130
Fri Sep 07 15:00:00 UTC 2012,58,147,131,129
Fri Sep 07 16:00:00 UTC 2012,63,147,132,131
Fri Sep 07 17:00:00 UTC 2012,76,147,134,135
Fri Sep 07 18:00:00 UTC 2012,100,148,130,129
Fri Sep 07 19:00:00 UTC 2012,139,155,132,122
Fri Sep 07 20:00:00 UTC 2012,85,216,202,186
Fri Sep 07 21:00:00 UTC 2012,80,155,126,115
Fri Sep 07 22:00:00 UTC 2012,60,156,135,121
Fri Sep 07 23:00:00 UTC 2012,55,221,207,185
Sat Sep 08 00:00:00 UTC 2012,41,226,202,185
Sat Sep 08 01:00:00 UTC 2012,23,222,198,175
Sat Sep 08 02:00:00 UTC 2012,10,159,117,113
Sat Sep 08 03:00:00 UTC 2012,9,155,122,118
Sat Sep 08 04:00:00 UTC 2012,2,237,230,217
Sat Sep 08 05:00:00 UTC 2012,3,222,205,169
Sat Sep 08 06:00:00 UTC 2012,6,165,131,114
Sat Sep 08 07:00:00 UTC 2012,10,144,134,142
Sat Sep 08 08:00:00 UTC 2012,24,150,137,137
Sat Sep 08 09:00:00 UTC 2012,36,151,139,129
Sat Sep 08 10:00:00 UTC 2012,62,150,136,134
Sat Sep 08 11:00:00 UTC 2012,80,145,132,135
Sat Sep 08 12:00:00 UTC 2012,82,151,132,129
Sat Sep 08 13:00:00 UTC 2012,132,147,129,129
Sat Sep 08 14:00:00 UTC 2012,97,149,138,127
Sat Sep 08 15:00:00 UTC 2012,114,150,133,130
Sat Sep 08 16:00:00 UTC 2012,107,147,134,136
Sat Sep 08 17:00:00 UTC 2012,92,150,139,134
Sat Sep 08 18:00:00 UTC 2012,92,149,133,132
Sat Sep 08 19:00:00 UTC 2012,80,152,128,124
Sat Sep 08 20:00:00 UTC 2012,71,157,119,110
Sat Sep 08 21:00:00 UTC 2012,52,222,199,180
Sat Sep 08 22:00:00 UTC 2012,60,158,129,121
Sat Sep 08 23:00:00 UTC 2012,69,216,196,182
Sun Sep 09 00:00:00 UTC 2012,58,213,201,188
Sun Sep 09 01:00:00 UTC 2012,19,220,197,180
Sun Sep 09 02:00:00 UTC 2012,18,104,79,86
Sun Sep 09 03:00:00 UTC 2012,3,106,88,90
Sun Sep 09 04:00:00 UTC 2012,5,229,211,187
Sun Sep 09 05:00:00 UTC 2012,4,69,108,231
Sun Sep 09 06:00:00 UTC 2012,5,130,142,159
Sun Sep 09 07:00:00 UTC 2012,7,242,245,230
Sun Sep 09 08:00:00 UTC 2012,23,193,176,184
Sun Sep 09 09:00:00 UTC 2012,21,155,143,130
Sun Sep 09 10:00:00 UTC 2012,40,142,132,133
Sun Sep 09 11:00:00 UTC 2012,74,141,135,140
Sun Sep 09 12:00:00 UTC 2012,89,149,133,132
Sun Sep 09 13:00:00 UTC 2012,89,149,132,130
Sun Sep 09 14:00:00 UTC 2012,112,151,133,131
Sun Sep 09 15:00:00 UTC 2012,122,149,134,132
Sun Sep 09 16:00:00 UTC 2012,132,148,133,134
Sun Sep 09 17:00:00 UTC 2012,164,147,135,135
Sun Sep 09 18:00:00 UTC 2012,124,150,131,128
Sun Sep 09 19:00:00 UTC 2012,94,150,129,126
Sun Sep 09 20:00:00 UTC 2012,87,155,125,119
Sun Sep 09 21:00:00 UTC 2012,63,152,129,122
Sun Sep 09 22:00:00 UTC 2012,51,153,133,129
Sun Sep 09 23:00:00 UTC 2012,30,221,201,192
