time,count,red,green,blue
Fri Sep 07 10:00:00 UTC 2012,231,156,136,130
Fri Sep 07 11:00:00 UTC 2012,268,155,136,130
Fri Sep 07 12:00:00 UTC 2012,280,155,137,128
Fri Sep 07 13:00:00 UTC 2012,272,157,135,126
Fri Sep 07 14:00:00 UTC 2012,267,155,136,127
Fri Sep 07 15:00:00 UTC 2012,224,155,137,129
Fri Sep 07 16:00:00 UTC 2012,220,155,135,128
Fri Sep 07 17:00:00 UTC 2012,513,155,139,129
Fri Sep 07 18:00:00 UTC 2012,337,155,135,127
Fri Sep 07 19:00:00 UTC 2012,421,155,131,124
Fri Sep 07 20:00:00 UTC 2012,439,156,128,120
Fri Sep 07 21:00:00 UTC 2012,361,156,125,115
Fri Sep 07 22:00:00 UTC 2012,373,156,126,118
Fri Sep 07 23:00:00 UTC 2012,308,155,122,115
Sat Sep 08 00:00:00 UTC 2012,268,223,202,179
Sat Sep 08 01:00:00 UTC 2012,187,221,204,187
Sat Sep 08 02:00:00 UTC 2012,139,223,202,187
Sat Sep 08 03:00:00 UTC 2012,76,105,85,93
Sat Sep 08 04:00:00 UTC 2012,40,223,203,180
Sat Sep 08 05:00:00 UTC 2012,21,155,137,127
Sat Sep 08 06:00:00 UTC 2012,37,153,136,131
Sat Sep 08 07:00:00 UTC 2012,55,157,138,122
Sat Sep 08 08:00:00 UTC 2012,74,158,142,133
Sat Sep 08 09:00:00 UTC 2012,198,157,139,132
Sat Sep 08 10:00:00 UTC 2012,288,156,137,128
Sat Sep 08 11:00:00 UTC 2012,250,157,136,130
Sat Sep 08 12:00:00 UTC 2012,329,158,136,129
Sat Sep 08 13:00:00 UTC 2012,361,157,135,127
Sat Sep 08 14:00:00 UTC 2012,359,156,137,131
Sat Sep 08 15:00:00 UTC 2012,332,156,134,127
Sat Sep 08 16:00:00 UTC 2012,426,156,134,126
Sat Sep 08 17:00:00 UTC 2012,595,150,138,138
Sat Sep 08 18:00:00 UTC 2012,445,155,135,128
Sat Sep 08 19:00:00 UTC 2012,389,157,129,121
Sat Sep 08 20:00:00 UTC 2012,342,156,127,118
Sat Sep 08 21:00:00 UTC 2012,308,158,129,120
Sat Sep 08 22:00:00 UTC 2012,315,155,125,115
Sat Sep 08 23:00:00 UTC 2012,294,223,203,178
Sun Sep 09 00:00:00 UTC 2012,275,226,204,182
Sun Sep 09 01:00:00 UTC 2012,207,226,201,180
Sun Sep 09 02:00:00 UTC 2012,154,221,202,185
Sun Sep 09 03:00:00 UTC 2012,82,157,130,119
Sun Sep 09 04:00:00 UTC 2012,41,226,201,183
Sun Sep 09 05:00:00 UTC 2012,42,158,127,113
Sun Sep 09 06:00:00 UTC 2012,31,139,132,138
Sun Sep 09 07:00:00 UTC 2012,53,143,131,137
Sun Sep 09 08:00:00 UTC 2012,103,149,138,137
Sun Sep 09 09:00:00 UTC 2012,164,152,132,132
Sun Sep 09 10:00:00 UTC 2012,221,149,135,133
Sun Sep 09 11:00:00 UTC 2012,284,151,135,133
Sun Sep 09 12:00:00 UTC 2012,222,150,135,134
Sun Sep 09 13:00:00 UTC 2012,406,150,137,133
Sun Sep 09 14:00:00 UTC 2012,507,148,136,134
Sun Sep 09 15:00:00 UTC 2012,480,150,135,132
Sun Sep 09 16:00:00 UTC 2012,545,150,133,131
Sun Sep 09 17:00:00 UTC 2012,472,150,136,133
Sun Sep 09 18:00:00 UTC 2012,530,150,134,132
Sun Sep 09 19:00:00 UTC 2012,446,154,131,128
Sun Sep 09 20:00:00 UTC 2012,353,154,131,121
Sun Sep 09 21:00:00 UTC 2012,311,154,129,122
Sun Sep 09 22:00:00 UTC 2012,326,153,129,124
Sun Sep 09 23:00:00 UTC 2012,239,222,206,189
