time,count,red,green,blue
Fri Sep 07 10:00:00 UTC 2012,169,148,132,133
Fri Sep 07 11:00:00 UTC 2012,144,151,133,131
Fri Sep 07 12:00:00 UTC 2012,124,151,131,129
Fri Sep 07 13:00:00 UTC 2012,153,148,134,135
Fri Sep 07 14:00:00 UTC 2012,154,152,132,129
Fri Sep 07 15:00:00 UTC 2012,175,148,135,134
Fri Sep 07 16:00:00 UTC 2012,161,149,133,134
Fri Sep 07 17:00:00 UTC 2012,184,147,133,135
Fri Sep 07 18:00:00 UTC 2012,213,148,134,133
Fri Sep 07 19:00:00 UTC 2012,242,154,132,127
Fri Sep 07 20:00:00 UTC 2012,165,153,128,122
Fri Sep 07 21:00:00 UTC 2012,105,214,201,189
Fri Sep 07 22:00:00 UTC 2012,146,153,127,122
Fri Sep 07 23:00:00 UTC 2012,92,155,127,118
Sat Sep 08 00:00:00 UTC 2012,70,154,126,120
Sat Sep 08 01:00:00 UTC 2012,44,154,134,122
Sat Sep 08 02:00:00 UTC 2012,27,152,119,121
Sat Sep 08 03:00:00 UTC 2012,10,159,128,119
Sat Sep 08 04:00:00 UTC 2012,2,167,77,66
Sat Sep 08 05:00:00 UTC 2012,0,-,-,-
Sat Sep 08 06:00:00 UTC 2012,11,159,129,125
Sat Sep 08 07:00:00 UTC 2012,31,152,132,132
Sat Sep 08 08:00:00 UTC 2012,57,215,218,208
Sat Sep 08 09:00:00 UTC 2012,104,145,134,137
Sat Sep 08 10:00:00 UTC 2012,168,152,135,131
Sat Sep 08 11:00:00 UTC 2012,166,150,132,130
Sat Sep 08 12:00:00 UTC 2012,195,148,136,135
Sat Sep 08 13:00:00 UTC 2012,223,151,134,130
Sat Sep 08 14:00:00 UTC 2012,231,148,132,132
Sat Sep 08 15:00:00 UTC 2012,241,148,133,134
Sat Sep 08 16:00:00 UTC 2012,211,150,133,131
Sat Sep 08 17:00:00 UTC 2012,226,151,134,132
Sat Sep 08 18:00:00 UTC 2012,252,149,135,133
Sat Sep 08 19:00:00 UTC 2012,355,149,133,135
Sat Sep 08 20:00:00 UTC 2012,154,213,199,187
Sat Sep 08 21:00:00 UTC 2012,111,219,201,185
Sat Sep 08 22:00:00 UTC 2012,132,220,199,185
Sat Sep 08 23:00:00 UTC 2012,148,213,195,182
Sun Sep 09 00:00:00 UTC 2012,93,156,125,120
Sun Sep 09 01:00:00 UTC 2012,63,221,200,178
Sun Sep 09 02:00:00 UTC 2012,33,215,198,187
Sun Sep 09 03:00:00 UTC 2012,26,151,121,119
Sun Sep 09 04:00:00 UTC 2012,6,163,137,124
Sun Sep 09 05:00:00 UTC 2012,8,159,128,125
Sun Sep 09 06:00:00 UTC 2012,10,153,138,128
