time,count,red,green,blue
Fri Sep 07 10:00:00 UTC 2012,3,177,195,210
Fri Sep 07 11:00:00 UTC 2012,3,113,153,194
Fri Sep 07 12:00:00 UTC 2012,9,189,51,82
Fri Sep 07 13:00:00 UTC 2012,7,24,21,35
Fri Sep 07 14:00:00 UTC 2012,9,164,87,60
Fri Sep 07 15:00:00 UTC 2012,5,154,75,52
Fri Sep 07 16:00:00 UTC 2012,3,13,8,6
Fri Sep 07 17:00:00 UTC 2012,4,161,92,58
Fri Sep 07 18:00:00 UTC 2012,4,55,38,57
Fri Sep 07 19:00:00 UTC 2012,5,164,89,57
Fri Sep 07 20:00:00 UTC 2012,3,33,23,42
Fri Sep 07 21:00:00 UTC 2012,5,161,89,69
Fri Sep 07 22:00:00 UTC 2012,0,-,-,-
Fri Sep 07 23:00:00 UTC 2012,4,213,178,98
Sat Sep 08 00:00:00 UTC 2012,2,44,14,42
Sat Sep 08 01:00:00 UTC 2012,0,-,-,-
Sat Sep 08 02:00:00 UTC 2012,0,-,-,-
Sat Sep 08 03:00:00 UTC 2012,1,207,196,171
Sat Sep 08 04:00:00 UTC 2012,0,-,-,-
Sat Sep 08 05:00:00 UTC 2012,1,28,18,13
Sat Sep 08 06:00:00 UTC 2012,0,-,-,-
Sat Sep 08 07:00:00 UTC 2012,2,71,31,21
Sat Sep 08 08:00:00 UTC 2012,3,17,17,33
Sat Sep 08 09:00:00 UTC 2012,4,183,124,67
Sat Sep 08 10:00:00 UTC 2012,4,71,58,47
Sat Sep 08 11:00:00 UTC 2012,6,158,96,67
Sat Sep 08 12:00:00 UTC 2012,6,35,20,35
Sat Sep 08 13:00:00 UTC 2012,6,18,11,28
Sat Sep 08 14:00:00 UTC 2012,3,147,105,70
Sat Sep 08 15:00:00 UTC 2012,19,29,20,32
Sat Sep 08 16:00:00 UTC 2012,1,102,166,218
Sat Sep 08 17:00:00 UTC 2012,5,215,222,214
Sat Sep 08 18:00:00 UTC 2012,10,174,79,32
Sat Sep 08 19:00:00 UTC 2012,14,20,15,25
Sat Sep 08 20:00:00 UTC 2012,3,62,143,203
Sat Sep 08 21:00:00 UTC 2012,3,178,87,28
Sat Sep 08 22:00:00 UTC 2012,1,26,41,87
Sat Sep 08 23:00:00 UTC 2012,5,23,14,17
Sun Sep 09 00:00:00 UTC 2012,8,203,170,70
Sun Sep 09 01:00:00 UTC 2012,0,-,-,-
Sun Sep 09 02:00:00 UTC 2012,3,56,34,24
Sun Sep 09 03:00:00 UTC 2012,0,-,-,-
Sun Sep 09 04:00:00 UTC 2012,0,-,-,-
Sun Sep 09 05:00:00 UTC 2012,0,-,-,-
Sun Sep 09 06:00:00 UTC 2012,0,-,-,-
Sun Sep 09 07:00:00 UTC 2012,0,-,-,-
Sun Sep 09 08:00:00 UTC 2012,0,-,-,-
Sun Sep 09 09:00:00 UTC 2012,0,-,-,-
Sun Sep 09 10:00:00 UTC 2012,5,158,99,49
Sun Sep 09 11:00:00 UTC 2012,5,166,134,88
Sun Sep 09 12:00:00 UTC 2012,3,61,97,158
Sun Sep 09 13:00:00 UTC 2012,1,12,10,30
Sun Sep 09 14:00:00 UTC 2012,6,30,20,23
Sun Sep 09 15:00:00 UTC 2012,9,187,161,103
Sun Sep 09 16:00:00 UTC 2012,26,171,61,69
Sun Sep 09 17:00:00 UTC 2012,11,20,16,24
Sun Sep 09 18:00:00 UTC 2012,10,30,19,28
Sun Sep 09 19:00:00 UTC 2012,8,55,85,154
Sun Sep 09 20:00:00 UTC 2012,2,158,74,22
Sun Sep 09 21:00:00 UTC 2012,6,27,11,22
Sun Sep 09 22:00:00 UTC 2012,7,176,72,60
Sun Sep 09 23:00:00 UTC 2012,2,170,141,99
