time,count,red,green,blue
Fri Sep 07 10:00:00 UTC 2012,5,219,203,177
Fri Sep 07 11:00:00 UTC 2012,5,162,90,59
Fri Sep 07 12:00:00 UTC 2012,5,160,77,60
Fri Sep 07 13:00:00 UTC 2012,3,176,95,52
Fri Sep 07 14:00:00 UTC 2012,4,186,85,48
Fri Sep 07 15:00:00 UTC 2012,5,220,189,48
Fri Sep 07 16:00:00 UTC 2012,4,165,68,68
Fri Sep 07 17:00:00 UTC 2012,10,179,152,93
Fri Sep 07 18:00:00 UTC 2012,18,164,123,88
Fri Sep 07 19:00:00 UTC 2012,10,23,17,28
Fri Sep 07 20:00:00 UTC 2012,9,23,13,19
Fri Sep 07 21:00:00 UTC 2012,6,10,11,18
Fri Sep 07 22:00:00 UTC 2012,17,26,12,22
Fri Sep 07 23:00:00 UTC 2012,26,215,210,194
Sat Sep 08 00:00:00 UTC 2012,17,27,18,29
Sat Sep 08 01:00:00 UTC 2012,2,31,42,78
Sat Sep 08 02:00:00 UTC 2012,0,-,-,-
Sat Sep 08 03:00:00 UTC 2012,0,-,-,-
Sat Sep 08 04:00:00 UTC 2012,0,-,-,-
Sat Sep 08 05:00:00 UTC 2012,0,-,-,-
Sat Sep 08 06:00:00 UTC 2012,0,-,-,-
Sat Sep 08 07:00:00 UTC 2012,0,-,-,-
Sat Sep 08 08:00:00 UTC 2012,2,52,77,157
Sat Sep 08 09:00:00 UTC 2012,1,33,104,155
Sat Sep 08 10:00:00 UTC 2012,4,242,244,226
Sat Sep 08 11:00:00 UTC 2012,5,162,87,69
Sat Sep 08 12:00:00 UTC 2012,2,153,81,98
Sat Sep 08 13:00:00 UTC 2012,9,171,69,60
Sat Sep 08 14:00:00 UTC 2012,8,21,17,26
Sat Sep 08 15:00:00 UTC 2012,5,157,119,105
Sat Sep 08 16:00:00 UTC 2012,4,41,87,152
Sat Sep 08 17:00:00 UTC 2012,6,159,77,70
Sat Sep 08 18:00:00 UTC 2012,13,27,19,27
Sat Sep 08 19:00:00 UTC 2012,18,170,165,92
Sat Sep 08 20:00:00 UTC 2012,12,19,10,17
Sat Sep 08 21:00:00 UTC 2012,12,159,147,101
Sat Sep 08 22:00:00 UTC 2012,7,176,172,96
Sat Sep 08 23:00:00 UTC 2012,6,37,23,30
Sun Sep 09 00:00:00 UTC 2012,8,22,14,17
Sun Sep 09 01:00:00 UTC 2012,1,16,10,27
Sun Sep 09 02:00:00 UTC 2012,0,-,-,-
Sun Sep 09 03:00:00 UTC 2012,0,-,-,-
Sun Sep 09 04:00:00 UTC 2012,0,-,-,-
Sun Sep 09 05:00:00 UTC 2012,0,-,-,-
Sun Sep 09 06:00:00 UTC 2012,0,-,-,-
Sun Sep 09 07:00:00 UTC 2012,0,-,-,-
Sun Sep 09 08:00:00 UTC 2012,2,100,152,222
Sun Sep 09 09:00:00 UTC 2012,0,-,-,-
Sun Sep 09 10:00:00 UTC 2012,6,204,186,59
Sun Sep 09 11:00:00 UTC 2012,3,225,204,180
Sun Sep 09 12:00:00 UTC 2012,2,198,166,86
Sun Sep 09 13:00:00 UTC 2012,2,186,166,98
Sun Sep 09 14:00:00 UTC 2012,6,163,92,98
Sun Sep 09 15:00:00 UTC 2012,3,31,20,22
Sun Sep 09 16:00:00 UTC 2012,5,207,168,83
Sun Sep 09 17:00:00 UTC 2012,9,169,86,51
Sun Sep 09 18:00:00 UTC 2012,7,23,19,31
Sun Sep 09 19:00:00 UTC 2012,17,26,18,24
Sun Sep 09 20:00:00 UTC 2012,8,23,12,28
Sun Sep 09 21:00:00 UTC 2012,4,20,14,27
Sun Sep 09 22:00:00 UTC 2012,8,12,9,23
Sun Sep 09 23:00:00 UTC 2012,12,221,198,191
