time,count,red,green,blue
Fr Sep 07 11:00:00 UTC 2012,1,13,8,7
Fr Sep 07 12:00:00 UTC 2012,1,24,13,13
Fr Sep 07 13:00:00 UTC 2012,1,245,243,184
Fr Sep 07 14:00:00 UTC 2012,1,246,221,147
Fr Sep 07 15:00:00 UTC 2012,1,33,33,42
Fr Sep 07 16:00:00 UTC 2012,1,252,252,247
Fr Sep 07 17:00:00 UTC 2012,1,23,21,35
Fr Sep 07 18:00:00 UTC 2012,1,49,25,43
Fr Sep 07 19:00:00 UTC 2012,1,23,21,20
Fr Sep 07 20:00:00 UTC 2012,1,175,66,84
Fr Sep 07 21:00:00 UTC 2012,1,214,222,212
Fr Sep 07 22:00:00 UTC 2012,1,22,9,3
Fr Sep 07 23:00:00 UTC 2012,1,106,175,230
Sa Sep 08 00:00:00 UTC 2012,1,84,57,65
Sa Sep 08 01:00:00 UTC 2012,1,16,12,45
Sa Sep 08 02:00:00 UTC 2012,1,165,153,165
Sa Sep 08 03:00:00 UTC 2012,1,27,24,36
Sa Sep 08 04:00:00 UTC 2012,1,44,8,34
Sa Sep 08 05:00:00 UTC 2012,1,11,10,32
Sa Sep 08 06:00:00 UTC 2012,1,35,4,32
Sa Sep 08 07:00:00 UTC 2012,0,-,-,-
Sa Sep 08 08:00:00 UTC 2012,1,95,94,91
Sa Sep 08 09:00:00 UTC 2012,1,39,1,3
Sa Sep 08 10:00:00 UTC 2012,1,164,162,159
Sa Sep 08 11:00:00 UTC 2012,1,43,22,41
Sa Sep 08 12:00:00 UTC 2012,1,243,242,232
Sa Sep 08 13:00:00 UTC 2012,1,157,164,159
Sa Sep 08 14:00:00 UTC 2012,1,56,46,49
Sa Sep 08 15:00:00 UTC 2012,1,6,5,13
Sa Sep 08 16:00:00 UTC 2012,1,203,164,75
Sa Sep 08 17:00:00 UTC 2012,1,206,185,160
Sa Sep 08 18:00:00 UTC 2012,1,29,32,35
Sa Sep 08 19:00:00 UTC 2012,1,9,15,82
Sa Sep 08 20:00:00 UTC 2012,1,241,225,163
Sa Sep 08 21:00:00 UTC 2012,1,11,9,10
Sa Sep 08 22:00:00 UTC 2012,1,73,17,61
Sa Sep 08 23:00:00 UTC 2012,1,26,3,41
So Sep 09 00:00:00 UTC 2012,1,246,236,212
So Sep 09 01:00:00 UTC 2012,1,1,3,30
So Sep 09 02:00:00 UTC 2012,1,42,7,37
So Sep 09 03:00:00 UTC 2012,1,179,169,173
So Sep 09 04:00:00 UTC 2012,1,11,6,19
So Sep 09 05:00:00 UTC 2012,0,-,-,-
So Sep 09 06:00:00 UTC 2012,1,9,7,5
So Sep 09 07:00:00 UTC 2012,1,218,208,198
So Sep 09 08:00:00 UTC 2012,1,25,19,17
So Sep 09 09:00:00 UTC 2012,1,13,12,44
So Sep 09 10:00:00 UTC 2012,1,52,2,60
So Sep 09 11:00:00 UTC 2012,1,36,39,35
So Sep 09 12:00:00 UTC 2012,1,161,149,142
So Sep 09 13:00:00 UTC 2012,1,22,18,20
So Sep 09 14:00:00 UTC 2012,1,44,10,34
So Sep 09 15:00:00 UTC 2012,1,6,5,29
So Sep 09 16:00:00 UTC 2012,1,57,47,72
So Sep 09 17:00:00 UTC 2012,1,24,22,19
So Sep 09 18:00:00 UTC 2012,1,228,232,235
So Sep 09 19:00:00 UTC 2012,1,247,243,229
So Sep 09 20:00:00 UTC 2012,1,16,3,71
So Sep 09 21:00:00 UTC 2012,1,17,14,48
So Sep 09 22:00:00 UTC 2012,1,15,10,27
So Sep 09 23:00:00 UTC 2012,1,21,13,12
