time,count,red,green,blue
Fri Sep 07 10:00:00 UTC 2012,1,186,171,147
Fri Sep 07 11:00:00 UTC 2012,1,53,75,140
Fri Sep 07 12:00:00 UTC 2012,1,227,239,220
Fri Sep 07 13:00:00 UTC 2012,1,112,143,185
Fri Sep 07 14:00:00 UTC 2012,1,96,50,42
Fri Sep 07 15:00:00 UTC 2012,2,157,117,97
Fri Sep 07 16:00:00 UTC 2012,5,180,65,58
Fri Sep 07 17:00:00 UTC 2012,2,85,52,40
Fri Sep 07 18:00:00 UTC 2012,1,227,205,162
Fri Sep 07 19:00:00 UTC 2012,1,43,11,38
Fri Sep 07 20:00:00 UTC 2012,0,-,-,-
Fri Sep 07 21:00:00 UTC 2012,1,241,205,167
Fri Sep 07 22:00:00 UTC 2012,1,171,116,51
Fri Sep 07 23:00:00 UTC 2012,0,-,-,-
Sat Sep 08 00:00:00 UTC 2012,0,-,-,-
Sat Sep 08 01:00:00 UTC 2012,0,-,-,-
Sat Sep 08 02:00:00 UTC 2012,0,-,-,-
Sat Sep 08 03:00:00 UTC 2012,0,-,-,-
Sat Sep 08 04:00:00 UTC 2012,0,-,-,-
Sat Sep 08 05:00:00 UTC 2012,0,-,-,-
Sat Sep 08 06:00:00 UTC 2012,0,-,-,-
Sat Sep 08 07:00:00 UTC 2012,0,-,-,-
Sat Sep 08 08:00:00 UTC 2012,0,-,-,-
Sat Sep 08 09:00:00 UTC 2012,0,-,-,-
Sat Sep 08 10:00:00 UTC 2012,1,184,48,57
Sat Sep 08 11:00:00 UTC 2012,0,-,-,-
Sat Sep 08 12:00:00 UTC 2012,0,-,-,-
Sat Sep 08 13:00:00 UTC 2012,5,187,57,20
Sat Sep 08 14:00:00 UTC 2012,2,218,188,179
Sat Sep 08 15:00:00 UTC 2012,1,76,8,60
Sat Sep 08 16:00:00 UTC 2012,0,-,-,-
Sat Sep 08 17:00:00 UTC 2012,3,17,10,38
Sat Sep 08 18:00:00 UTC 2012,1,165,113,77
Sat Sep 08 19:00:00 UTC 2012,0,-,-,-
Sat Sep 08 20:00:00 UTC 2012,0,-,-,-
Sat Sep 08 21:00:00 UTC 2012,3,171,95,71
Sat Sep 08 22:00:00 UTC 2012,0,-,-,-
Sat Sep 08 23:00:00 UTC 2012,2,2,9,231
Sun Sep 09 00:00:00 UTC 2012,0,-,-,-
Sun Sep 09 01:00:00 UTC 2012,0,-,-,-
Sun Sep 09 02:00:00 UTC 2012,0,-,-,-
Sun Sep 09 03:00:00 UTC 2012,0,-,-,-
Sun Sep 09 04:00:00 UTC 2012,0,-,-,-
Sun Sep 09 05:00:00 UTC 2012,0,-,-,-
Sun Sep 09 06:00:00 UTC 2012,0,-,-,-
Sun Sep 09 07:00:00 UTC 2012,0,-,-,-
Sun Sep 09 08:00:00 UTC 2012,1,148,100,91
Sun Sep 09 09:00:00 UTC 2012,0,-,-,-
Sun Sep 09 10:00:00 UTC 2012,0,-,-,-
Sun Sep 09 11:00:00 UTC 2012,2,182,160,87
Sun Sep 09 12:00:00 UTC 2012,2,36,9,35
Sun Sep 09 13:00:00 UTC 2012,1,187,25,43
Sun Sep 09 14:00:00 UTC 2012,1,243,245,228
Sun Sep 09 15:00:00 UTC 2012,1,144,114,64
Sun Sep 09 16:00:00 UTC 2012,7,75,168,213
Sun Sep 09 17:00:00 UTC 2012,1,34,40,43
Sun Sep 09 18:00:00 UTC 2012,0,-,-,-
Sun Sep 09 19:00:00 UTC 2012,2,160,97,59
Sun Sep 09 20:00:00 UTC 2012,0,-,-,-
Sun Sep 09 21:00:00 UTC 2012,4,213,150,98
Sun Sep 09 22:00:00 UTC 2012,0,-,-,-
Sun Sep 09 23:00:00 UTC 2012,0,-,-,-
