time,day,hour,minute,count,top_words
Thu Sep 06 21:00:00 UTC 2012,3,21,1260,3,pub=2
Thu Sep 06 22:00:00 UTC 2012,3,22,1320,5,""
Thu Sep 06 23:00:00 UTC 2012,3,23,1380,5,ausweg=2
Fri Sep 07 00:00:00 UTC 2012,4,0,0,3,hunger=2
Fri Sep 07 01:00:00 UTC 2012,4,1,60,0,""
Fri Sep 07 02:00:00 UTC 2012,4,2,120,0,""
Fri Sep 07 03:00:00 UTC 2012,4,3,180,0,""
Fri Sep 07 04:00:00 UTC 2012,4,4,240,1,""
Fri Sep 07 05:00:00 UTC 2012,4,5,300,0,""
Fri Sep 07 06:00:00 UTC 2012,4,6,360,1,""
Fri Sep 07 07:00:00 UTC 2012,4,7,420,1,""
Fri Sep 07 08:00:00 UTC 2012,4,8,480,2,bitte=2
Fri Sep 07 09:00:00 UTC 2012,4,9,540,7,""
Fri Sep 07 10:00:00 UTC 2012,4,10,600,1,""
Fri Sep 07 11:00:00 UTC 2012,4,11,660,2,institut=2_informatik=2
Fri Sep 07 12:00:00 UTC 2012,4,12,720,3,eyeem=3
Fri Sep 07 13:00:00 UTC 2012,4,13,780,3,""
Fri Sep 07 14:00:00 UTC 2012,4,14,840,4,""
Fri Sep 07 15:00:00 UTC 2012,4,15,900,7,biosphäre=2_kult=2_fast=2
Fri Sep 07 16:00:00 UTC 2012,4,16,960,4,""
Fri Sep 07 17:00:00 UTC 2012,4,17,1020,1,moin=2
Fri Sep 07 18:00:00 UTC 2012,4,18,1080,1,""
Fri Sep 07 19:00:00 UTC 2012,4,19,1140,2,""
Fri Sep 07 20:00:00 UTC 2012,4,20,1200,3,""
Fri Sep 07 21:00:00 UTC 2012,4,21,1260,0,""
Fri Sep 07 22:00:00 UTC 2012,4,22,1320,6,""
Fri Sep 07 23:00:00 UTC 2012,4,23,1380,2,""
Sat Sep 08 00:00:00 UTC 2012,5,0,0,6,""
Sat Sep 08 01:00:00 UTC 2012,5,1,60,1,""
Sat Sep 08 02:00:00 UTC 2012,5,2,120,1,""
Sat Sep 08 03:00:00 UTC 2012,5,3,180,0,""
Sat Sep 08 04:00:00 UTC 2012,5,4,240,1,""
Sat Sep 08 05:00:00 UTC 2012,5,5,300,0,""
Sat Sep 08 06:00:00 UTC 2012,5,6,360,0,""
Sat Sep 08 07:00:00 UTC 2012,5,7,420,1,""
Sat Sep 08 08:00:00 UTC 2012,5,8,480,3,""
Sat Sep 08 09:00:00 UTC 2012,5,9,540,0,""
Sat Sep 08 10:00:00 UTC 2012,5,10,600,3,""
Sat Sep 08 11:00:00 UTC 2012,5,11,660,1,""
Sat Sep 08 12:00:00 UTC 2012,5,12,720,0,""
Sat Sep 08 13:00:00 UTC 2012,5,13,780,3,""
Sat Sep 08 14:00:00 UTC 2012,5,14,840,2,""
Sat Sep 08 15:00:00 UTC 2012,5,15,900,1,""
Sat Sep 08 16:00:00 UTC 2012,5,16,960,2,""
Sat Sep 08 17:00:00 UTC 2012,5,17,1020,1,""
Sat Sep 08 18:00:00 UTC 2012,5,18,1080,2,pino=2
Sat Sep 08 19:00:00 UTC 2012,5,19,1140,2,""
Sat Sep 08 20:00:00 UTC 2012,5,20,1200,1,""
Sat Sep 08 21:00:00 UTC 2012,5,21,1260,3,""
Sat Sep 08 22:00:00 UTC 2012,5,22,1320,0,""
Sat Sep 08 23:00:00 UTC 2012,5,23,1380,4,immer=3
Sun Sep 09 00:00:00 UTC 2012,6,0,0,0,""
Sun Sep 09 01:00:00 UTC 2012,6,1,60,0,""
Sun Sep 09 02:00:00 UTC 2012,6,2,120,2,""
Sun Sep 09 03:00:00 UTC 2012,6,3,180,0,""
Sun Sep 09 04:00:00 UTC 2012,6,4,240,0,""
Sun Sep 09 05:00:00 UTC 2012,6,5,300,0,""
Sun Sep 09 06:00:00 UTC 2012,6,6,360,0,""
Sun Sep 09 07:00:00 UTC 2012,6,7,420,1,""
Sun Sep 09 08:00:00 UTC 2012,6,8,480,1,""
Sun Sep 09 09:00:00 UTC 2012,6,9,540,3,""
Sun Sep 09 10:00:00 UTC 2012,6,10,600,3,""
Sun Sep 09 11:00:00 UTC 2012,6,11,660,2,""
Sun Sep 09 12:00:00 UTC 2012,6,12,720,0,""
Sun Sep 09 13:00:00 UTC 2012,6,13,780,2,""
Sun Sep 09 14:00:00 UTC 2012,6,14,840,2,""
Sun Sep 09 15:00:00 UTC 2012,6,15,900,5,fake=2
Sun Sep 09 16:00:00 UTC 2012,6,16,960,1,""
Sun Sep 09 17:00:00 UTC 2012,6,17,1020,2,""
Sun Sep 09 18:00:00 UTC 2012,6,18,1080,2,""
Sun Sep 09 19:00:00 UTC 2012,6,19,1140,3,""
Sun Sep 09 20:00:00 UTC 2012,6,20,1200,0,""
Sun Sep 09 21:00:00 UTC 2012,6,21,1260,2,""
Sun Sep 09 22:00:00 UTC 2012,6,22,1320,10,моего=2_jag=2_уже=2_Шона=2_Хочу=2
Sun Sep 09 23:00:00 UTC 2012,6,23,1380,7,berlin=3
