time,day,hour,minute,count,top_words
Thu Sep 06 08:00:00 UTC 2012,3,8,480,4,""
Thu Sep 06 09:00:00 UTC 2012,3,9,540,11,""
Thu Sep 06 10:00:00 UTC 2012,3,10,600,28,apple=5
Thu Sep 06 11:00:00 UTC 2012,3,11,660,29,j’ai=2_tout=2_lake=2_moi=2_pas=2
Thu Sep 06 12:00:00 UTC 2012,3,12,720,19,jamba=2_healthybitch=2_baby=2_wheatgrass=2_macs=2
Thu Sep 06 13:00:00 UTC 2012,3,13,780,14,shot=3
Thu Sep 06 14:00:00 UTC 2012,3,14,840,12,pretty=2_amazon=2_não=2
Thu Sep 06 15:00:00 UTC 2012,3,15,900,22,cover=3
Thu Sep 06 16:00:00 UTC 2012,3,16,960,12,hope=2_romney=2
Thu Sep 06 17:00:00 UTC 2012,3,17,1020,17,não=3
Thu Sep 06 18:00:00 UTC 2012,3,18,1080,16,you’d=2_i'll=2_driving=2
Thu Sep 06 19:00:00 UTC 2012,3,19,1140,22,singer=4
Thu Sep 06 20:00:00 UTC 2012,3,20,1200,25,though=2_clara=2_service=2_still=2_would=2
Thu Sep 06 21:00:00 UTC 2012,3,21,1260,44,obama=9
Thu Sep 06 22:00:00 UTC 2012,3,22,1320,43,thelastkiss=6
Thu Sep 06 23:00:00 UTC 2012,3,23,1380,31,thelastkiss=14
Fri Sep 07 00:00:00 UTC 2012,4,0,0,30,went=4
Fri Sep 07 01:00:00 UTC 2012,4,1,60,10,cantfindanything=2_bed=2
Fri Sep 07 02:00:00 UTC 2012,4,2,120,3,""
Fri Sep 07 03:00:00 UTC 2012,4,3,180,4,""
Fri Sep 07 04:00:00 UTC 2012,4,4,240,1,""
Fri Sep 07 05:00:00 UTC 2012,4,5,300,1,""
Fri Sep 07 06:00:00 UTC 2012,4,6,360,7,fuck=2_haha=2
Fri Sep 07 07:00:00 UTC 2012,4,7,420,13,hope=2_email=2_dream=2
Fri Sep 07 08:00:00 UTC 2012,4,8,480,12,beatla=16
Fri Sep 07 09:00:00 UTC 2012,4,9,540,20,well=2
Fri Sep 07 10:00:00 UTC 2012,4,10,600,16,pas=2_aapl=2_right=2_high=2_está=2
Fri Sep 07 11:00:00 UTC 2012,4,11,660,31,est=4_figaro=4_monde=4
Fri Sep 07 12:00:00 UTC 2012,4,12,720,28,yeah=3
Fri Sep 07 13:00:00 UTC 2012,4,13,780,35,apple=4_pas=4
Fri Sep 07 14:00:00 UTC 2012,4,14,840,17,apple=7
Fri Sep 07 15:00:00 UTC 2012,4,15,900,31,fairytaleporn=4
Fri Sep 07 16:00:00 UTC 2012,4,16,960,15,apple=4
Fri Sep 07 17:00:00 UTC 2012,4,17,1020,16,song=2_cousin=2_apple=2_bus=2_ignoring=2
Fri Sep 07 18:00:00 UTC 2012,4,18,1080,8,black=2
Fri Sep 07 19:00:00 UTC 2012,4,19,1140,7,getting=2_chinese=2_news=2_condo=2_really=2
Fri Sep 07 20:00:00 UTC 2012,4,20,1200,14,checkin=2_giants=2_season=2_yahoo=2_fan=2
Fri Sep 07 21:00:00 UTC 2012,4,21,1260,12,red=2
Fri Sep 07 22:00:00 UTC 2012,4,22,1320,13,really=3
Fri Sep 07 23:00:00 UTC 2012,4,23,1380,17,sherlock=2_best=2_hard=2_thank=2_say=2
Sat Sep 08 00:00:00 UTC 2012,5,0,0,10,makes=3
Sat Sep 08 01:00:00 UTC 2012,5,1,60,11,himym=4
Sat Sep 08 02:00:00 UTC 2012,5,2,120,10,season=4_robin=4_himym=4
Sat Sep 08 03:00:00 UTC 2012,5,3,180,11,bij=6
Sat Sep 08 04:00:00 UTC 2012,5,4,240,7,niet=2_nog=2
Sat Sep 08 05:00:00 UTC 2012,5,5,300,3,haha=2
Sat Sep 08 06:00:00 UTC 2012,5,6,360,4,jobs=3_tweetmyjobs=3_amazon=3_job=3
Sat Sep 08 07:00:00 UTC 2012,5,7,420,15,act=2_taking=2_can't=2_words=2_beatla=2
Sat Sep 08 08:00:00 UTC 2012,5,8,480,5,""
Sat Sep 08 09:00:00 UTC 2012,5,9,540,6,who's=2
Sat Sep 08 10:00:00 UTC 2012,5,10,600,4,""
Sat Sep 08 11:00:00 UTC 2012,5,11,660,6,""
Sat Sep 08 12:00:00 UTC 2012,5,12,720,5,""
Sat Sep 08 13:00:00 UTC 2012,5,13,780,14,posted=3_photo=3
Sat Sep 08 14:00:00 UTC 2012,5,14,840,8,blah=20
Sat Sep 08 15:00:00 UTC 2012,5,15,900,10,""
Sat Sep 08 16:00:00 UTC 2012,5,16,960,10,online=2_may=2_wash=2_car=2_voting=2
Sat Sep 08 17:00:00 UTC 2012,5,17,1020,13,gain=6
Sat Sep 08 18:00:00 UTC 2012,5,18,1080,5,ipad=2_pos=2_cool=2
Sat Sep 08 19:00:00 UTC 2012,5,19,1140,18,brobeans=3
Sat Sep 08 20:00:00 UTC 2012,5,20,1200,9,right=2
Sat Sep 08 21:00:00 UTC 2012,5,21,1260,12,bowling=2_film=2
Sat Sep 08 22:00:00 UTC 2012,5,22,1320,7,""
Sat Sep 08 23:00:00 UTC 2012,5,23,1380,11,rspacedicks=2_rspaceclop=2_wow=2_verde=2_little=2
Sun Sep 09 00:00:00 UTC 2012,6,0,0,9,best=3
Sun Sep 09 01:00:00 UTC 2012,6,1,60,34,himym=7
Sun Sep 09 02:00:00 UTC 2012,6,2,120,6,people=2_himym=2_say=2
