time,day,hour,minute,count,top_words
Thu Sep 06 08:00:00 UTC 2012,3,8,480,39,starbucks=3_della=3_che=3
Thu Sep 06 09:00:00 UTC 2012,3,9,540,40,world=3_greppin=3
Thu Sep 06 10:00:00 UTC 2012,3,10,600,41,hope=4
Thu Sep 06 11:00:00 UTC 2012,3,11,660,47,apple=3
Thu Sep 06 12:00:00 UTC 2012,3,12,720,42,stanford=11
Thu Sep 06 13:00:00 UTC 2012,3,13,780,54,business=4_world=4
Thu Sep 06 14:00:00 UTC 2012,3,14,840,38,stanford=2_cell=2_facebook=2_mochiballs=2_house=2
Thu Sep 06 15:00:00 UTC 2012,3,15,900,52,justin=6
Thu Sep 06 16:00:00 UTC 2012,3,16,960,100,votebieber=21
Thu Sep 06 17:00:00 UTC 2012,3,17,1020,89,justin=12
Thu Sep 06 18:00:00 UTC 2012,3,18,1080,60,night=3_premios=3_redwood=3
Thu Sep 06 19:00:00 UTC 2012,3,19,1140,89,vote=7
Thu Sep 06 20:00:00 UTC 2012,3,20,1200,92,job=5_show=5
Thu Sep 06 21:00:00 UTC 2012,3,21,1260,44,cad=3
Thu Sep 06 22:00:00 UTC 2012,3,22,1320,59,said=3_shit=3
Thu Sep 06 23:00:00 UTC 2012,3,23,1380,45,money=5
Fri Sep 07 00:00:00 UTC 2012,4,0,0,31,night=3
Fri Sep 07 01:00:00 UTC 2012,4,1,60,16,haha=2_god=2
Fri Sep 07 02:00:00 UTC 2012,4,2,120,9,""
Fri Sep 07 03:00:00 UTC 2012,4,3,180,10,""
Fri Sep 07 04:00:00 UTC 2012,4,4,240,3,amazing=2
Fri Sep 07 05:00:00 UTC 2012,4,5,300,6,""
Fri Sep 07 06:00:00 UTC 2012,4,6,360,15,как=3
Fri Sep 07 07:00:00 UTC 2012,4,7,420,56,это=4
Fri Sep 07 08:00:00 UTC 2012,4,8,480,52,help=2_sometimes=2_view=2_dream=2_friday=2
Fri Sep 07 09:00:00 UTC 2012,4,9,540,55,weekend=3_twitter=3_last=3_friends=3
Fri Sep 07 10:00:00 UTC 2012,4,10,600,53,googleplex=4
Fri Sep 07 11:00:00 UTC 2012,4,11,660,41,mountain=4_view=4
Fri Sep 07 12:00:00 UTC 2012,4,12,720,31,googleplex=4
Fri Sep 07 13:00:00 UTC 2012,4,13,780,45,jobs=4
Fri Sep 07 14:00:00 UTC 2012,4,14,840,58,schwab=2_money=2_interest=2_wrong=2_justin=2
Fri Sep 07 15:00:00 UTC 2012,4,15,900,54,stanford=7
Fri Sep 07 16:00:00 UTC 2012,4,16,960,52,favorite=3_stanford=3_tire=3
Fri Sep 07 17:00:00 UTC 2012,4,17,1020,89,quote=8
Fri Sep 07 18:00:00 UTC 2012,4,18,1080,79,shoreline=15
Fri Sep 07 19:00:00 UTC 2012,4,19,1140,103,fml=35
Fri Sep 07 20:00:00 UTC 2012,4,20,1200,82,incubus=12
Fri Sep 07 21:00:00 UTC 2012,4,21,1260,51,linkin=14
Fri Sep 07 22:00:00 UTC 2012,4,22,1320,77,linkin=9
Fri Sep 07 23:00:00 UTC 2012,4,23,1380,81,shoreline=21
Sat Sep 08 00:00:00 UTC 2012,5,0,0,41,shoreline=15_amphitheatre=15
Sat Sep 08 01:00:00 UTC 2012,5,1,60,18,night=3
Sat Sep 08 02:00:00 UTC 2012,5,2,120,10,heart=2_show=2_cryingbless=2
Sat Sep 08 03:00:00 UTC 2012,5,3,180,4,""
Sat Sep 08 04:00:00 UTC 2012,5,4,240,4,""
Sat Sep 08 05:00:00 UTC 2012,5,5,300,4,start=2_finish=2_western=2
Sat Sep 08 06:00:00 UTC 2012,5,6,360,6,""
Sat Sep 08 07:00:00 UTC 2012,5,7,420,16,night=2_罗姆尼的个人漏狗做的的确不错。。。=2
Sat Sep 08 08:00:00 UTC 2012,5,8,480,32,game=3_golden=3_gate=3
Sat Sep 08 09:00:00 UTC 2012,5,9,540,44,guys=4
Sat Sep 08 10:00:00 UTC 2012,5,10,600,41,tootsies=3_come=3_norcal=3
Sat Sep 08 11:00:00 UTC 2012,5,11,660,41,someone=3
Sat Sep 08 12:00:00 UTC 2012,5,12,720,36,stanford=2_idea=2_микрлолноку=2_company=2_center=2
Sat Sep 08 13:00:00 UTC 2012,5,13,780,46,outfitters=3_said=3_urban=3_usc=3
Sat Sep 08 14:00:00 UTC 2012,5,14,840,45,arts=3_center=3
Sat Sep 08 15:00:00 UTC 2012,5,15,900,33,stanford=5
Sat Sep 08 16:00:00 UTC 2012,5,16,960,59,stanford=10
Sat Sep 08 17:00:00 UTC 2012,5,17,1020,55,ucla=6
Sat Sep 08 18:00:00 UTC 2012,5,18,1080,51,stanford=15
Sat Sep 08 19:00:00 UTC 2012,5,19,1140,86,stanford=37
Sat Sep 08 20:00:00 UTC 2012,5,20,1200,88,stanford=33
Sat Sep 08 21:00:00 UTC 2012,5,21,1260,75,stanford=31
Sat Sep 08 22:00:00 UTC 2012,5,22,1320,55,stanford=16
Sat Sep 08 23:00:00 UTC 2012,5,23,1380,52,stanford=9
Sun Sep 09 00:00:00 UTC 2012,6,0,0,32,stanford=5
Sun Sep 09 01:00:00 UTC 2012,6,1,60,13,half=2_Громче=2
Sun Sep 09 02:00:00 UTC 2012,6,2,120,20,что=2_рукоодители=2_зачем=2_кино=2_tomorrow=2
Sun Sep 09 03:00:00 UTC 2012,6,3,180,15,stanford=2_kzsu=2_что=2
Sun Sep 09 04:00:00 UTC 2012,6,4,240,2,net=3
Sun Sep 09 05:00:00 UTC 2012,6,5,300,1,""
Sun Sep 09 06:00:00 UTC 2012,6,6,360,5,""
Sun Sep 09 07:00:00 UTC 2012,6,7,420,9,iphone=9
Sun Sep 09 08:00:00 UTC 2012,6,8,480,32,golden=2_cybercoders=2_gate=2_wassup=2_woke=2
Sun Sep 09 09:00:00 UTC 2012,6,9,540,25,church=4
Sun Sep 09 10:00:00 UTC 2012,6,10,600,23,google=3_siliconvalley=3_goose=3_football=3_googleplex=3
Sun Sep 09 11:00:00 UTC 2012,6,11,660,32,justin=7
Sun Sep 09 12:00:00 UTC 2012,6,12,720,61,justin=10
Sun Sep 09 13:00:00 UTC 2012,6,13,780,28,caltrain=3
Sun Sep 09 14:00:00 UTC 2012,6,14,840,87,¿mi=6
Sun Sep 09 15:00:00 UTC 2012,6,15,900,89,justin=7
Sun Sep 09 16:00:00 UTC 2012,6,16,960,88,justin=7
Sun Sep 09 17:00:00 UTC 2012,6,17,1020,86,fredotwitterparty=14
Sun Sep 09 18:00:00 UTC 2012,6,18,1080,89,shoreline=12
Sun Sep 09 19:00:00 UTC 2012,6,19,1140,68,shoreline=25
Sun Sep 09 20:00:00 UTC 2012,6,20,1200,86,shoreline=11
Sun Sep 09 21:00:00 UTC 2012,6,21,1260,80,justin=13
Sun Sep 09 22:00:00 UTC 2012,6,22,1320,57,dave=4_shoreline=4
Sun Sep 09 23:00:00 UTC 2012,6,23,1380,75,shoreline=9
