time,day,hour,minute,count,top_words
Tue Sep 04 18:00:00 UTC 2012,1,18,1080,3625,please=93
Tue Sep 04 19:00:00 UTC 2012,1,19,1140,3808,olympic=80
Tue Sep 04 20:00:00 UTC 2012,1,20,1200,4231,well=97
Tue Sep 04 21:00:00 UTC 2012,1,21,1260,4605,think=97
Tue Sep 04 22:00:00 UTC 2012,1,22,1320,4597,think=105
Tue Sep 04 23:00:00 UTC 2012,1,23,1380,4099,night=84
Wed Sep 05 00:00:00 UTC 2012,2,0,0,2516,night=43
Wed Sep 05 01:00:00 UTC 2012,2,1,60,1583,canción=36
Wed Sep 05 02:00:00 UTC 2012,2,2,120,1020,ser=21
Wed Sep 05 03:00:00 UTC 2012,2,3,180,561,haha=10
Wed Sep 05 04:00:00 UTC 2012,2,4,240,520,zayn=27
Wed Sep 05 05:00:00 UTC 2012,2,5,300,406,price=20
Wed Sep 05 06:00:00 UTC 2012,2,6,360,622,morning=50
Wed Sep 05 07:00:00 UTC 2012,2,7,420,1482,morning=87
Wed Sep 05 08:00:00 UTC 2012,2,8,480,2178,morning=99
Wed Sep 05 09:00:00 UTC 2012,2,9,540,2400,morning=79
Wed Sep 05 10:00:00 UTC 2012,2,10,600,2866,paralympics=63
Wed Sep 05 11:00:00 UTC 2012,2,11,660,2673,paralympics=58
Wed Sep 05 12:00:00 UTC 2012,2,12,720,2972,think=52_need=52
Wed Sep 05 13:00:00 UTC 2012,2,13,780,3127,tweet=83
Wed Sep 05 14:00:00 UTC 2012,2,14,840,3279,tweet=68
Wed Sep 05 15:00:00 UTC 2012,2,15,900,2892,tea=68
Wed Sep 05 16:00:00 UTC 2012,2,16,960,3261,think=66_well=66
Wed Sep 05 17:00:00 UTC 2012,2,17,1020,3649,well=67
Wed Sep 05 18:00:00 UTC 2012,2,18,1080,3854,olympic=106
Wed Sep 05 19:00:00 UTC 2012,2,19,1140,3947,world=79
Wed Sep 05 20:00:00 UTC 2012,2,20,1200,4131,think=80
Wed Sep 05 21:00:00 UTC 2012,2,21,1260,2495,dallas=53
Wed Sep 05 22:00:00 UTC 2012,2,22,1320,0,""
Wed Sep 05 23:00:00 UTC 2012,2,23,1380,0,""
Thu Sep 06 00:00:00 UTC 2012,3,0,0,1175,night=26
Thu Sep 06 01:00:00 UTC 2012,3,1,60,1605,twitcam=50
