time,count,fsq_count,CategorieParents,Categories
Tue Sep 04 17:00:00 UTC 2012,3174,249,Food=47_Travel & Transport=44_Professional & Other Places=23,Home (private)=11_Train Station=9_Subway=8
Tue Sep 04 18:00:00 UTC 2012,3526,287,Shops & Services=60_Travel & Transport=45_Professional & Other Places=31,Train Station=13_Coffee Shop=10_Bar=10
Tue Sep 04 19:00:00 UTC 2012,3805,345,Shops & Services=74_Nightlife Spots=42_Travel & Transport=34,Bar=14_Airport=13_Tennis=11
Tue Sep 04 20:00:00 UTC 2012,4252,285,Travel & Transport=41_Shops & Services=36_Arts & Entertainment=30,Mexican Restaurant=10_Airport=9_Bar=9
Tue Sep 04 21:00:00 UTC 2012,4336,211,Nightlife Spots=30_Shops & Services=29_Residences=25,American Restaurant=10_Bar=10_Gym=7
Tue Sep 04 22:00:00 UTC 2012,3961,130,Travel & Transport=22_Nightlife Spots=17_Shops & Services=14,Airport=6_American Restaurant=6_Gay Bar=4
Tue Sep 04 23:00:00 UTC 2012,4516,97,Travel & Transport=21_Residences=14_Food=13,Bar=6_Airport=6_Hotel=4
Wed Sep 05 00:00:00 UTC 2012,3421,68,Nightlife Spots=14_Food=10_Residences=8,Airport=5_Bus Line=4_Bar=3
Wed Sep 05 01:00:00 UTC 2012,2227,41,Food=7_Nightlife Spots=5_Outdoors & Recreation=4,Bar=2_Train Station=2_Airport Terminal=2
Wed Sep 05 02:00:00 UTC 2012,1437,35,Arts & Entertainment=7_Residences=6_Travel & Transport=5,Home (private)=4_Deli / Bodega=3_Food Truck=3
Wed Sep 05 03:00:00 UTC 2012,869,24,Travel & Transport=4_Arts & Entertainment=4_Residences=3,Home (private)=3_Italian Restaurant=2_Pizza Place=2
Wed Sep 05 04:00:00 UTC 2012,446,26,Shops & Services=7_Food=5_Residences=3,Deli / Bodega=3_Subway=3_Electronics Store=2
Wed Sep 05 05:00:00 UTC 2012,481,40,Professional & Other Places=6_Shops & Services=5_Food=4,Gym=4_Subway=3_Coworking Space=2
Wed Sep 05 06:00:00 UTC 2012,748,82,Shops & Services=19_Gyms or Fitness Centers=13_Food=12,Subway=10_Airport=8_Coffee Shop=5
Wed Sep 05 07:00:00 UTC 2012,1397,127,Shops & Services=24_Food=20_Professional & Other Places=19,Subway=8_Coffee Shop=8_Office=8
Wed Sep 05 08:00:00 UTC 2012,1942,260,Food=48_Travel & Transport=41_Colleges & Universities=28,Coffee Shop=24_Subway=11_College Academic Building=10
Wed Sep 05 09:00:00 UTC 2012,2627,262,Travel & Transport=42_Food=41_Shops & Services=25,Coffee Shop=16_University=11_Building=11
Wed Sep 05 10:00:00 UTC 2012,2846,198,Travel & Transport=34_Shops & Services=27_Food=27,Coffee Shop=16_Subway=11_Building=9
Wed Sep 05 11:00:00 UTC 2012,3039,226,Professional & Other Places=43_Shops & Services=40_Travel & Transport=29,Tennis=11_Coffee Shop=10_Airport=10
Wed Sep 05 12:00:00 UTC 2012,3185,240,Shops & Services=41_Professional & Other Places=37_Travel & Transport=31,Coffee Shop=8_Sandwich Place=7_Home (private)=7
Wed Sep 05 13:00:00 UTC 2012,3092,263,Shops & Services=55_Professional & Other Places=32_Travel & Transport=24,Coffee Shop=9_American Restaurant=8_Burger Joint=7
Wed Sep 05 14:00:00 UTC 2012,3283,223,Food=54_Professional & Other Places=28_Travel & Transport=23,Coffee Shop=8_University=7_Grocery Store=7
Wed Sep 05 15:00:00 UTC 2012,3066,206,Food=41_Travel & Transport=39_Professional & Other Places=25,Train Station=10_Park=7_Office=7
Wed Sep 05 16:00:00 UTC 2012,1790,142,Food=31_Travel & Transport=21_Arts & Entertainment=17,Park=6_Coffee Shop=6_Gym=5
Wed Sep 05 17:00:00 UTC 2012,0,0,"",""
Wed Sep 05 18:00:00 UTC 2012,0,0,"",""
Wed Sep 05 19:00:00 UTC 2012,2489,306,Food=71_Arts & Entertainment=45_Nightlife Spots=41,Football Stadium=16_Bar=13_Gym=11
Wed Sep 05 20:00:00 UTC 2012,5010,396,Nightlife Spots=76_Shops & Services=65_Arts & Entertainment=55,Bar=32_Football Stadium=28_Hotel=17
Wed Sep 05 21:00:00 UTC 2012,5459,347,Shops & Services=75_Nightlife Spots=58_Arts & Entertainment=38,Bar=24_Home (private)=14_Gym=12
