0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
343,303,151,130,222,135,274,428,538,609,621,824,808,951,354,0,1172,1539,1450,1256,988,803,581,508
312,179,151,243,187,206,303,393,597,699,794,693,954,927,1041,1085,1225,1281,1404,1112,1256,1058,805,529
273,203,147,112,137,238,291,368,748,860,837,927,884,546,0,0,759,1397,1364,1941,1416,1124,816,531
249,217,175,142,116,207,304,475,616,705,723,783,866,1043,1173,1118,1308,1621,1638,1728,1411,1151,727,507
319,186,130,134,135,199,350,551,1000,849,686,941,844,1075,1091,1116,961,1319,1404,1546,1281,1087,815,551
436,354,209,153,120,151,421,469,561,840,846,1010,1084,1124,1026,1068,934,960,1108,1054,1084,812,653,569
367,295,216,109,129,160,293,264,521,442,726,995,873,1077,973,1207,1266,1361,1398,1214,1101,1018,752,515
