lat,long,size,languages,user_top10,words_top10
52.3403770807424,13.0700920243332,0,"","",""
52.3403770807424,13.0811191998185,0,"","",""
52.3403770807424,13.0921463742802,0,"","",""
52.3403770807424,13.1031735472063,0,"","",""
52.3403770807424,13.1142007180852,0,"","",""
52.3403770807424,13.1252278864048,0,"","",""
52.3403770807424,13.1362550516535,0,"","",""
52.3403770807424,13.1472822133193,0,"","",""
52.3403770807424,13.1583093708904,0,"","",""
52.3403770807424,13.169336523855,0,"","",""
52.3403770807424,13.1803636717013,0,"","",""
52.3403770807424,13.1913908139175,0,"","",""
52.3403770807424,13.2024179499917,0,"","",""
52.3403770807424,13.213445079412,0,"","",""
52.3403770807424,13.2244722016668,0,"","",""
52.3403770807424,13.2354993162441,0,"","",""
52.3403770807424,13.2465264226322,0,"","",""
52.3403770807424,13.2575535203192,0,"","",""
52.3403770807424,13.2685806087933,0,"","",""
52.3403770807424,13.2796076875427,0,"","",""
52.3403770807424,13.2906347560557,0,"","",""
52.3403770807424,13.3016618138204,0,"","",""
52.3403770807424,13.312688860325,0,"","",""
52.3403770807424,13.3237158950577,0,"","",""
52.3403770807424,13.3347429175067,0,"","",""
52.3403770807424,13.3457699271603,0,"","",""
52.3403770807424,13.3567969235067,0,"","",""
52.3403770807424,13.3678239060341,0,"","",""
52.3403770807424,13.3788508742307,0,"","",""
52.3403770807424,13.3898778275848,0,"","",""
52.3403770807424,13.4009047655846,0,"","",""
52.3403770807424,13.4119316877183,0,"","",""
52.3403770807424,13.4229585934742,0,"","",""
52.3403770807424,13.4339854823406,0,"","",""
52.3403770807424,13.4450123538057,0,"","",""
52.3403770807424,13.4560392073577,0,"","",""
52.3403770807424,13.467066042485,0,"","",""
52.3403770807424,13.4780928586758,0,"","",""
52.3403770807424,13.4891196554184,0,"","",""
52.3403770807424,13.5001464322012,0,"","",""
52.3403770807424,13.5111731885123,0,"","",""
52.3403770807424,13.5221999238401,0,"","",""
52.3403770807424,13.533226637673,0,"","",""
52.3403770807424,13.5442533294991,0,"","",""
52.3403770807424,13.555279998807,0,"","",""
52.3403770807424,13.5663066450848,0,"","",""
52.3403770807424,13.577333267821,0,"","",""
52.3403770807424,13.5883598665038,0,"","",""
52.3403770807424,13.5993864406217,0,"","",""
52.3403770807424,13.610412989663,0,"","",""
52.3403770807424,13.621439513116,0,"","",""
52.3403770807424,13.6324660104692,2,es=1 en=1,moshilu=1 steno=1,te=1 jajjajaja=1 disparejus=1 acuerdas=1 treatment=1
52.3403770807424,13.643492481211,0,"","",""
52.3403770807424,13.6545189248298,0,"","",""
52.3403770807424,13.6655453408138,0,"","",""
52.3403770807424,13.6765717286517,0,"","",""
52.3403770807424,13.6875980878318,0,"","",""
52.3403770807424,13.6986244178425,0,"","",""
52.3403770807424,13.7096507181723,0,"","",""
52.3403770807424,13.7206769883097,0,"","",""
52.3403770807424,13.731703227743,0,"","",""
52.3403770807424,13.7427294359609,0,"","",""
52.3471158867796,13.0700928649459,0,"","",""
52.3471158867796,13.0811200404313,0,"","",""
52.3471158867796,13.0921472148929,0,"","",""
52.3471158867796,13.1031743878191,0,"","",""
52.3471158867796,13.1142015586979,0,"","",""
52.3471158867796,13.1252287270176,0,"","",""
52.3471158867796,13.1362558922662,0,"","",""
52.3471158867796,13.147283053932,0,"","",""
52.3471158867796,13.1583102115032,0,"","",""
52.3471158867796,13.1693373644678,0,"","",""
52.3471158867796,13.1803645123141,0,"","",""
52.3471158867796,13.1913916545303,0,"","",""
52.3471158867796,13.2024187906044,0,"","",""
52.3471158867796,13.2134459200248,0,"","",""
52.3471158867796,13.2244730422796,0,"","",""
52.3471158867796,13.2355001568569,0,"","",""
52.3471158867796,13.2465272632449,0,"","",""
52.3471158867796,13.2575543609319,0,"","",""
52.3471158867796,13.2685814494061,3,de=3,mComputersCRM=3,großbeeren=3 golfrange=3 bb=2 neubeeren=2 dab=1
52.3471158867796,13.2796085281555,0,"","",""
52.3471158867796,13.2906355966684,0,"","",""
52.3471158867796,13.3016626544331,0,"","",""
52.3471158867796,13.3126897009377,0,"","",""
52.3471158867796,13.3237167356704,0,"","",""
52.3471158867796,13.3347437581195,0,"","",""
52.3471158867796,13.3457707677731,0,"","",""
52.3471158867796,13.3567977641195,0,"","",""
52.3471158867796,13.3678247466469,0,"","",""
52.3471158867796,13.3788517148435,0,"","",""
52.3471158867796,13.3898786681976,0,"","",""
52.3471158867796,13.4009056061973,0,"","",""
52.3471158867796,13.4119325283311,0,"","",""
52.3471158867796,13.422959434087,0,"","",""
52.3471158867796,13.4339863229534,0,"","",""
52.3471158867796,13.4450131944184,0,"","",""
52.3471158867796,13.4560400479705,0,"","",""
52.3471158867796,13.4670668830978,0,"","",""
52.3471158867796,13.4780936992886,0,"","",""
52.3471158867796,13.4891204960312,0,"","",""
52.3471158867796,13.5001472728139,0,"","",""
52.3471158867796,13.5111740291251,0,"","",""
52.3471158867796,13.5222007644529,0,"","",""
52.3471158867796,13.5332274782857,0,"","",""
52.3471158867796,13.5442541701119,0,"","",""
52.3471158867796,13.5552808394197,0,"","",""
52.3471158867796,13.5663074856976,0,"","",""
52.3471158867796,13.5773341084337,0,"","",""
52.3471158867796,13.5883607071165,0,"","",""
52.3471158867796,13.5993872812344,0,"","",""
52.3471158867796,13.6104138302757,0,"","",""
52.3471158867796,13.6214403537288,0,"","",""
52.3471158867796,13.632466851082,0,"","",""
52.3471158867796,13.6434933218238,11,en=10 cy=1,WovenBob=11,bow=1 verein=1 use=1 flopiwear=1 olympic=1
