time,count,fsq_count,CategorieParents,Categories
Wed Sep 05 12:00:00 UTC 2012,55,7,Offices=1_Professional & Other Places=1_Shops & Services=1,Vietnamese Restaurant=1_Food Truck=1_Tech Startup=1
Wed Sep 05 13:00:00 UTC 2012,35,5,Travel & Transport=1_Professional & Other Places=1_Food & Drink Shops=1,Train Station=1_Paper / Office Supplies Store=1_Grocery Store=1
Wed Sep 05 14:00:00 UTC 2012,0,0,"",""
Wed Sep 05 15:00:00 UTC 2012,0,0,"",""
Wed Sep 05 16:00:00 UTC 2012,46,2,Shops & Services=1,Spa / Massage=1
Wed Sep 05 17:00:00 UTC 2012,74,6,Food=2_Residences=1_Offices=1,College Engineering Building=1_New American Restaurant=1_Tech Startup=1
Wed Sep 05 18:00:00 UTC 2012,74,8,Food=3_Travel & Transport=1_Colleges & Universities=1,Clothing Store=1_Performing Arts Venue=1_Wine Bar=1
Wed Sep 05 19:00:00 UTC 2012,81,8,Colleges & Universities=2_Residences=1_Food=1,College Academic Building=1_College Bookstore=1_Bookstore=1
Wed Sep 05 20:00:00 UTC 2012,89,5,Professional & Other Places=1_Residences=1_Gyms or Fitness Centers=1,French Restaurant=1_Pizza Place=1_Office=1
Wed Sep 05 21:00:00 UTC 2012,62,2,Professional & Other Places=1,Burger Joint=1
Wed Sep 05 22:00:00 UTC 2012,71,1,"",""
Wed Sep 05 23:00:00 UTC 2012,58,1,"",""
Thu Sep 06 00:00:00 UTC 2012,17,0,"",""
Thu Sep 06 01:00:00 UTC 2012,6,0,"",""
Thu Sep 06 02:00:00 UTC 2012,5,0,"",""
Thu Sep 06 03:00:00 UTC 2012,8,0,"",""
Thu Sep 06 04:00:00 UTC 2012,9,0,"",""
Thu Sep 06 05:00:00 UTC 2012,8,0,"",""
Thu Sep 06 06:00:00 UTC 2012,9,2,"",Coffee Shop=1
Thu Sep 06 07:00:00 UTC 2012,34,6,Professional & Other Places=2_Food=2_Colleges & Universities=2,Doctor's Office=1_College Administrative Building=1_College Lab=1
Thu Sep 06 08:00:00 UTC 2012,39,3,"",""
Thu Sep 06 09:00:00 UTC 2012,40,3,"",Building=1
Thu Sep 06 10:00:00 UTC 2012,41,5,Offices=1_Food=1_Colleges & Universities=1,College Bookstore=1_Building=1_Tech Startup=1
Thu Sep 06 11:00:00 UTC 2012,47,4,Professional & Other Places=1_Offices=1_Shops & Services=1,Electronics Store=1_Coworking Space=1_Coffee Shop=1
Thu Sep 06 12:00:00 UTC 2012,42,13,Colleges & Universities=3_Arts & Entertainment=3_Shops & Services=2,Mall=1_College Academic Building=1_Café=1
Thu Sep 06 13:00:00 UTC 2012,54,11,Food=5_Offices=2,Seafood Restaurant=2_Tech Startup=1_Cafeteria=1
Thu Sep 06 14:00:00 UTC 2012,38,3,Shops & Services=1,Spa / Massage=1
Thu Sep 06 15:00:00 UTC 2012,52,0,"",""
Thu Sep 06 16:00:00 UTC 2012,100,4,Professional & Other Places=3_Shops & Services=1,Hardware Store=1
Thu Sep 06 17:00:00 UTC 2012,89,6,Shops & Services=2_Colleges & Universities=1_Offices=1,Salon / Barbershop=1_General College & University=1_Tech Startup=1
Thu Sep 06 18:00:00 UTC 2012,60,6,Offices=2_Professional & Other Places=2_Arts & Entertainment=1,Performing Arts Venue=1_Cafeteria=1_Italian Restaurant=1
Thu Sep 06 19:00:00 UTC 2012,89,6,Shops & Services=2_Colleges & Universities=1_Food=1,Event Space=1_College Residence Hall=1_Office=1
Thu Sep 06 20:00:00 UTC 2012,92,7,Nightlife Spots=1_Residences=1_Travel & Transport=1,Wine Bar=1_Hotel=1_Mexican Restaurant=1
Thu Sep 06 21:00:00 UTC 2012,44,2,Hotels=1,Hotel=1
Thu Sep 06 22:00:00 UTC 2012,59,4,Nightlife Spots=2,Wine Bar=1_Sports Bar=1
Thu Sep 06 23:00:00 UTC 2012,45,2,Travel & Transport=1,Hotel=1
