time,day,hour,minute,count,fsq_count,CategorieParents,Categories,Venues
Mon Sep 03 05:00:00 UTC 2012,0,5,300,266,11,Nightlife Spots=1_Food=2_Residences=2_Professional & Other Places=2_Arts & Entertainment=2_Outdoors & Recreation=1,Building=2,Department of Sanitation Bx 7 Garage=2_Rockefeller Center=1_Hampton Gourmet Deli=1_Belmont Park Racetrack=1_Pakistan=1_Chip's Home@ 555 W 23rd=1_Euro Lounge=1_Lucky Zhang's Family II Corp=1_NYC Department of Sanitation=1_NBC Studio 1A - Today Show=1
Mon Sep 03 05:30:00 UTC 2012,0,5,330,305,15,Airports=2_Food=5_Professional & Other Places=1_Arts & Entertainment=1_Travel & Transport=7_Outdoors & Recreation=1_Stadiums=1,Airport=3,LaGuardia Airport (LGA)=2_One Liberty Plaza=1_Wo Hop Restaurant=1_La Nueva Flor de Broadway=1_MTA Subway - 137th St/City College (1)=1_MTA Subway - 18th Ave (D)=1_John F. Kennedy International Airport (JFK)=1_Starbucks=1_Gate 6=1_Bread & Butter=1_JFK Jet Blue Airlines=1_McDonald's=1_2012 US Open Tennis Championships=1_Canarsie Brooklyn=1
Mon Sep 03 06:00:00 UTC 2012,0,6,360,241,10,Gyms or Fitness Centers=2_Professional & Other Places=1_Shops & Services=2_Arts & Entertainment=1_Travel & Transport=5,Airport=3,John F. Kennedy International Airport (JFK)=1_JetBlue Baggage Claim=1_Newark Liberty International Airport (EWR)=1_chillys palace of pleasure=1_World Trade Center PATH Station=1_Planet Fitness=1_30 Rockefeller Plaza=1_New York Penn Station=1_NBC Studio 1A - Today Show=1_LA Fitness=1
Mon Sep 03 06:30:00 UTC 2012,0,6,390,244,9,Nightlife Spots=1_Airports=1_Gyms or Fitness Centers=1_Professional & Other Places=2_Shops & Services=1_Arts & Entertainment=1_Travel & Transport=3,Gym=1_Building=1_Nightclub=1_Event Space=1_Professional & Other Places=1_Airport Terminal=1_Bus Station=1_General Entertainment=1_Airport=1,CBS/ESPN TV Compound @ US Open=1_John F. Kennedy International Airport (JFK)=1_RWJ Rahway Fitness & Wellness Center at Carteret=1_Newark International Airport Bus To Port Street=1_Astoria: Secret Location=1_Mulvihill Ics Inc Yard=1_System Dance Club=1_John F. Kennedy International Airport Terminal 2=1_Good Morning America Studios=1
Mon Sep 03 07:00:00 UTC 2012,0,7,420,281,26,Professional & Other Places=5_Food=5_Travel & Transport=4_Outdoors & Recreation=6_Arts & Entertainment=3,Office=2_Subway=2_Coffee Shop=2_Airport=2,LaGuardia Airport (LGA)=2_Lafayette Aquatics Center=1_Tim Hortons=1_Gallagher's Steakhouse=1_MTA Subway - J Train=1_Doggie Park=1_Beatmill HQ=1_Dunkin' Donuts=1_St. Luke's Roman Catholic Church=1_My Place  Where Dogs Rule=1_Madison Square Garden=1_7-Eleven=1_MTA Subway - 3rd Ave/149th St (2/5)=1_Beechhurst=1_Whitestone NY=1_Planet Fitness=1_Corner of 125th Street and Lenox Avenue=1_Little Bay Park Dog Run=1_Perkins Restaurant & Bakery=1_The Hills  ♡=1_Fitzgerald Analytics HQ=1_Floyd Hall Arena=1_Good Morning America Studios=1_Little Bay Park=1_Time Warner Cable - Technical Operations=1
Mon Sep 03 07:30:00 UTC 2012,0,7,450,382,23,Shops & Services=2_Food=9_Travel & Transport=8,Chinese Restaurant=3_Deli / Bodega=3_Airport=3,Food Center=2_May May Restaurant=2_EWR - Terminal A=1_Daves Jamacian Restaurant=1_On The Run - Conduit & Liberty=1_LaGuardia Terminal C (US Airways)=1_Liquors Lotto=1_NJ Transit Rail Terminal=1_Francois Payard Bakery=1_Starbucks=1_121 Lenox Gourmet Deli=1_LIRR - Douglaston Station=1_John F. Kennedy International Airport (JFK)=1_Nagpal House=1_Where I Lay My Head=1_30 Rockefeller Plaza=1_Grand Hyatt New York=1_New Ming Fat Chinese Restaurant=1_Washington Jefferson Hotel=1_LaGuardia Airport (LGA)=1_Juicy Couture=1
Mon Sep 03 08:00:00 UTC 2012,0,8,480,514,24,Airports=2_Residences=2_Food=5_Professional & Other Places=2_Shops & Services=2_Outdoors & Recreation=3_Travel & Transport=7,Hotel=2_Airport=2_Donut Shop=2,Dunkin' Donuts=2_el buen sabor=1_NYCHA - Seth Low Houses=1_The Pod Hotel=1_Newark Liberty International Airport (EWR)=1_Old Navy=1_Sunset Park=1_MTA Subway - Coney Island/Stillwell Ave (D/F/N/Q)=1_Madison Square Park=1_Axel Building Jamaica Hospital=1_Crunch Fitness=1_Euclid 500 Garden=1_EWR - Terminal A=1_Andersen Hall Manhattan School of Music=1_Terry's Gourmet Deli=1_Mondrian Soho=1_Lobby Lounge at Mandarin Oriental Hotel=1_Jamaica Hospital Medical Center=1_Napoli's Pizza=1_Good Morning America Studios=1_JFK AirTrain - Jamaica Station=1_black lodge=1_LaGuardia Airport (LGA)=1
Mon Sep 03 08:30:00 UTC 2012,0,8,510,588,29,Gyms or Fitness Centers=3_Professional & Other Places=4_Shops & Services=6_Food=8_Arts & Entertainment=2_Travel & Transport=6_Outdoors & Recreation=2,Gym=3_Coffee Shop=3_Airport=3,Labor Day Weekendpocalypse=2_Dunkin' Donuts=2_Starbucks=1_VandM Office=1_John F. Kennedy International Airport (JFK)=1_Grover Cleveland Playground=1_AMC Empire 25=1_Lee Good Taste=1_LaGuardia Terminal C (US Airways)=1_Visions Of Beauty Unisex Salon=1_CollegeBound Network=1_135th Street and Lenox=1_Prospect Park=1_The Original Pancake House=1_The Teleport=1_Bluebird Coffee Shop=1_New York Sports Club=1_Silver Moon Bakery=1_JetBlue Baggage Claim LGA Airport=1_Throgs Neck Extended Care=1_Nubian's Hair Salon=1_Gym=1_Chelsea Piers Sports Center=1_Pelham Manor Fire Station=1_Spa Castle=1_LaGuardia Airport (LGA)=1_Barking Dog Luncheonette=1
Mon Sep 03 09:00:00 UTC 2012,0,9,540,778,47,Food=13_Shops & Services=12_Outdoors & Recreation=6_Travel & Transport=8,Diner=3_Neighborhood=3_Bagel Shop=3_Airport=3,Roosevelt Island=3_Sherri Hill's Showroom=2_Off Shore Restaurant=2_Apple Store=2_Starbucks=2_Dunkin' Donuts=2_LaGuardia Airport (LGA)=2_Synergy Fitness=1_Met FoodMarkets=1_Concord Diner=1_Strategic Legal Solutions=1_Grand Central Terminal=1_P.S. 11 William T. Harris Elementary School=1_Preety Nails=1_Fairway Market=1_Danforth Ave. & Kennedy Blvd.=1_Que Sabor=1_Jackie Robinson Parkway - Exit 2=1_National Wholesale Liquidators=1_Owners Lounge - West 57th Street by Hilton Club=1_Terrace Bagels=1_Duane Reade=1_Target=1_Premier Care of Maspeth=1_Prospect Park (Long Meadow)=1_Fort Tryon Park=1_John F. Kennedy International Airport (JFK)=1_Park Ave BMW Service Center=1_Ess-a-Bagel=1_New York Penn Station=1_Manfredi Chrysler Jeep Dodge=1_Barry’s Bootcamp=1_2012 US Open Tennis Championships=1_Labor Day Weekend 2012=1_La Casa=1_Bagel Works=1_Labor Day Weekendpocalypse=1_Ed Koch Queensboro Bridge=1_Van Leeuwen Artisan Ice Cream=1
Mon Sep 03 09:30:00 UTC 2012,0,9,570,920,72,Colleges & Universities=4_Professional & Other Places=7_Shops & Services=9_Food=23_Arts & Entertainment=5_Outdoors & Recreation=10_Travel & Transport=13_Stadiums=4,Diner=4_Coffee Shop=4,"Dunkin' Donuts=2_Mashable HQ=2_2012 US Open Tennis Championships=2_Roosevelt Island=2_Starbucks=2_NYPD - 9th Precinct=1_55 John Street=1_Columbia University=1_Harlem, NY=1_Exceed Fitness=1_McDonald's=1_24 Sycamores Playground=1_Joe the Art of Coffee=1_Andy's Coffee Shop=1_Francois Payard Bakery=1_Port Authority Bus Terminal=1_Seton Hall PRSSA ROPE in Success 2012=1_Washington Hall Park=1_Swanpazz=1_MY NY Bakery Cafe=1_IHOP=1_Civic Entertainment Group=1_Hillview Towers=1_Coney Island Avenue Bridge=1_Rossi's House=1_Grand Central Terminal Clock=1_Good Stuff Diner=1_Carl Schurz Park=1_John F. Kennedy International Airport (JFK)=1_Labor Day Weekendpocalypse=1_Newport Pier=1_Metro Diner=1_New York University=1_145th Street / Saint Nicholas Avenue (Manhattan, NY)=1_Porter Lounge EWR=1_145th And St. Nicholas=1_The Blue Store=1_Arthur Ashe Stadium - USTA Billie Jean King National Tennis Center=1_Total Fitness Gym=1_Talde=1_Mercedes benz Fashion week Max Azria Herve Leger Fashion Show=1_Russ & Daughters=1_East River Running Path=1_Trader Joe's=1_Pudgie's/Nathan's=1_Crunch Fitness=1_Sun In Bloom=1_Daily Grind Express=1_Mi Tierra I Restaurant Bar & Lounge=1_Brooklyn Family Medical Associates=1_Labor Day Weekend 2012=1_Robert F. Wagner Jr. Park=1_Citi Field=1_Burger King=1_Newport Centre Mall=1_Manhattan Uptown (north of 59th Street)=1_Olympic Flame Diner=1_AMC Loews 34th Street 14=1_Manhattan Uptown=1_Roosevelt Island Tram=1_Hilton New York=1_Governor's Island Ferry Waiting Room=1_Area 151=1_Elim Deli=1_Golden Bridge Yoga NYC=1_Ground Support=1_LaGuardia Airport (LGA)=1"
