time,day,hour,minute,count,fsq_count,CategorieParents,Categories,Venues,Coord
Tue Sep 04 08:30:00 UTC 2012,1,8,510,2,1,Professional & Other Places=1,Office=1,Panasonic Research=1,Office=37.335153 -122.00483
Tue Sep 04 09:00:00 UTC 2012,1,9,540,6,1,Professional & Other Places=1,Office=1,Apple - Infinite Loop 2=1,Office=37.3325553 -122.03050101
Tue Sep 04 09:30:00 UTC 2012,1,9,570,9,1,Food=1,Coffee Shop=1,Starbucks=1,Coffee Shop=37.322468 -121.994078
Tue Sep 04 10:00:00 UTC 2012,1,10,600,6,0,"","","",""
Tue Sep 04 10:30:00 UTC 2012,1,10,630,6,0,"","","",""
Tue Sep 04 11:00:00 UTC 2012,1,11,660,4,0,"","","",""
Tue Sep 04 11:30:00 UTC 2012,1,11,690,6,1,Professional & Other Places=1,Office=1,Apple Inc.=1,Office=37.331653 -122.03072304
Tue Sep 04 12:00:00 UTC 2012,1,12,720,8,3,Medical Centers=1_Professional & Other Places=2_Food=1,Doctor's Office=1_Office=1_Vietnamese Restaurant=1,Apple - Stevens Creek 1=1_Pho Minh=1_Kaiser Radioimaging 104=1,Vietnamese Restaurant=37.324392 -122.03320202_Office=37.323445 -122.022035_Doctor's Office=37.335593 -121.998329
Tue Sep 04 12:30:00 UTC 2012,1,12,750,18,0,"","","",""
Tue Sep 04 13:00:00 UTC 2012,1,13,780,5,1,Shops & Services=1,Electronics Store=1,Apple Company Store=1,Electronics Store=37.33143672 -122.03050554
Tue Sep 04 13:30:00 UTC 2012,1,13,810,11,0,"","","",""
Tue Sep 04 14:00:00 UTC 2012,1,14,840,7,2,Professional & Other Places=1,Office=1,Massage Rescue=1_Apple Inc.=1,Office=37.331653 -122.03072304
Tue Sep 04 14:30:00 UTC 2012,1,14,870,9,2,Professional & Other Places=1_Travel & Transport=1,Office=1_Hotel=1,Courtyard by Marriott San Jose Cupertino=1_Apple Inc.=1,Hotel=37.33227906 -122.01528539_Office=37.331653 -122.03072304
Tue Sep 04 15:00:00 UTC 2012,1,15,900,5,0,"","","",""
Tue Sep 04 15:30:00 UTC 2012,1,15,930,9,2,Nightlife Spots=1_Colleges & Universities=1,Bar=1_College Classroom=1,BJ's Restaurant & Brewhouse=1_De Anza College Adm 101=1,College Classroom=37.32027769 -122.045439_Bar=37.331305 -122.03180909
Tue Sep 04 16:00:00 UTC 2012,1,16,960,10,0,"","","",""
Tue Sep 04 16:30:00 UTC 2012,1,16,990,7,0,"","","",""
Tue Sep 04 17:00:00 UTC 2012,1,17,1020,8,2,Shops & Services=2,Cosmetics Shop=2,Glamorous Nail Salon=2,Cosmetics Shop=37.34018658 -122.04258
Tue Sep 04 17:30:00 UTC 2012,1,17,1050,10,0,"","","",""
Tue Sep 04 18:00:00 UTC 2012,1,18,1080,10,3,Outdoors & Recreation=1_Shops & Services=2,Park=1_Bank=1_Convenience Store=1,Saratoga Creek Park=1_7-Eleven=1_Wells Fargo=1,Convenience Store=37.309259 -121.993035_Bank=37.31918876 -122.03192754_Park=37.30157251 -121.99600697
Tue Sep 04 18:30:00 UTC 2012,1,18,1110,1,0,"","","",""
Tue Sep 04 19:00:00 UTC 2012,1,19,1140,6,2,Shops & Services=1_Food=1,Mall=1_Steakhouse=1,Alexander's Steakhouse=1_Vallco Shopping Mall=1,Steakhouse=37.32826314 -122.01394558_Mall=37.32599386 -122.01536866
Tue Sep 04 19:30:00 UTC 2012,1,19,1170,1,0,"","","",""
Tue Sep 04 20:00:00 UTC 2012,1,20,1200,5,1,Food=1,Coffee Shop=1,Starbucks=1,Coffee Shop=37.32199665 -122.03273177
Tue Sep 04 20:30:00 UTC 2012,1,20,1230,4,0,"","","",""
Tue Sep 04 21:00:00 UTC 2012,1,21,1260,5,1,Nightlife Spots=1,Pub=1,The Duke of Edinburgh=1,Pub=37.33490655 -122.01486903
Tue Sep 04 21:30:00 UTC 2012,1,21,1290,9,0,"","","",""
Tue Sep 04 22:00:00 UTC 2012,1,22,1320,15,0,"","","",""
Tue Sep 04 22:30:00 UTC 2012,1,22,1350,14,0,"","","",""
Tue Sep 04 23:00:00 UTC 2012,1,23,1380,17,1,"","",Home=1,""
Tue Sep 04 23:30:00 UTC 2012,1,23,1410,4,0,"","","",""
Wed Sep 05 00:00:00 UTC 2012,2,0,0,9,0,"","","",""
Wed Sep 05 00:30:00 UTC 2012,2,0,30,1,0,"","","",""
Wed Sep 05 01:00:00 UTC 2012,2,1,60,0,0,"","","",""
Wed Sep 05 01:30:00 UTC 2012,2,1,90,2,0,"","","",""
Wed Sep 05 02:00:00 UTC 2012,2,2,120,0,0,"","","",""
Wed Sep 05 02:30:00 UTC 2012,2,2,150,0,0,"","","",""
Wed Sep 05 03:00:00 UTC 2012,2,3,180,0,0,"","","",""
Wed Sep 05 03:30:00 UTC 2012,2,3,210,0,0,"","","",""
Wed Sep 05 04:00:00 UTC 2012,2,4,240,0,0,"","","",""
Wed Sep 05 04:30:00 UTC 2012,2,4,270,2,0,"","","",""
Wed Sep 05 05:00:00 UTC 2012,2,5,300,2,0,"","","",""
Wed Sep 05 05:30:00 UTC 2012,2,5,330,0,0,"","","",""
Wed Sep 05 06:00:00 UTC 2012,2,6,360,1,0,"","","",""
Wed Sep 05 06:30:00 UTC 2012,2,6,390,1,1,Travel & Transport=1,Hotel=1,Courtyard by Marriott San Jose Cupertino=1,Hotel=37.33227906 -122.01528539
