time,day,hour,minute,count,fsq_count,CategorieParents,Categories,Venues,Coord
Tue Sep 04 10:30:00 UTC 2012,1,10,630,11,0,"","","",""
Tue Sep 04 11:00:00 UTC 2012,1,11,660,13,1,Museums=1_Arts & Entertainment=1,History Museum=1,Haus der Wannsee-Konferenz | House of the Wannsee Conference=1,History Museum=52.43277434 13.16465735
Tue Sep 04 11:30:00 UTC 2012,1,11,690,15,1,Travel & Transport=1,Train Station=1,Potsdam Hauptbahnhof=1,Train Station=52.39149915 13.06627393
Tue Sep 04 12:00:00 UTC 2012,1,12,720,15,0,"","","",""
Tue Sep 04 12:30:00 UTC 2012,1,12,750,16,1,Outdoors & Recreation=1,Bridge=1,Glienicker Brücke=1,Bridge=52.41342752 13.09040308
Tue Sep 04 13:00:00 UTC 2012,1,13,780,8,1,Outdoors & Recreation=1,Park=1,Park Sanssouci=1,Park=52.40192139 13.03570747
Tue Sep 04 13:30:00 UTC 2012,1,13,810,14,1,Arts & Entertainment=1,Historic Site=1,Brandenburger Tor=1,Historic Site=52.39954518 13.04805636
Tue Sep 04 14:00:00 UTC 2012,1,14,840,13,2,Outdoors & Recreation=1_Travel & Transport=1,Train Station=1_Athletic & Sport=1,Bahnhofspassagen Potsdam=1_ReitTherapieZentrum=1,Athletic & Sport=52.425665 13.154533_Train Station=52.39229792 13.06407452
Tue Sep 04 14:30:00 UTC 2012,1,14,870,15,1,Food=1,Ice Cream Shop=1,Piazza Rossa=1,Ice Cream Shop=52.39254671 13.0667456
Tue Sep 04 15:00:00 UTC 2012,1,15,900,11,1,Travel & Transport=1,Hotel=1,Kongresshotel Potsdam am Templiner See=1,Hotel=52.37575242 13.01426221
Tue Sep 04 15:30:00 UTC 2012,1,15,930,13,1,Professional & Other Places=1_Schools=1,Nursery School=1,Kita Nuthewinkel=1,Nursery School=52.38378906 13.08222485
Tue Sep 04 16:00:00 UTC 2012,1,16,960,11,0,"","","",""
Tue Sep 04 16:30:00 UTC 2012,1,16,990,12,1,Colleges & Universities=1,University=1,Hasso-Plattner-Institut für Softwaresystemtechnik GmbH=1,University=52.39389275 13.13225555
Tue Sep 04 17:00:00 UTC 2012,1,17,1020,9,0,"","","",""
Tue Sep 04 17:30:00 UTC 2012,1,17,1050,12,0,"","","",""
Tue Sep 04 18:00:00 UTC 2012,1,18,1080,11,1,Nightlife Spots=1,Pub=1,Gleis 6=1,Pub=52.39140863 13.09131105
Tue Sep 04 18:30:00 UTC 2012,1,18,1110,12,0,"","","",""
Tue Sep 04 19:00:00 UTC 2012,1,19,1140,7,0,"","","",""
Tue Sep 04 19:30:00 UTC 2012,1,19,1170,9,0,"","","",""
Tue Sep 04 20:00:00 UTC 2012,1,20,1200,9,1,Food=1,Restaurant=1,Garage Du Pont=1,Restaurant=52.412861 13.086294
Tue Sep 04 20:30:00 UTC 2012,1,20,1230,14,0,"","","",""
Tue Sep 04 21:00:00 UTC 2012,1,21,1260,12,0,"","","",""
Tue Sep 04 21:30:00 UTC 2012,1,21,1290,25,0,"","","",""
Tue Sep 04 22:00:00 UTC 2012,1,22,1320,17,0,"","","",""
Tue Sep 04 22:30:00 UTC 2012,1,22,1350,15,0,"","","",""
Tue Sep 04 23:00:00 UTC 2012,1,23,1380,18,0,"","","",""
Tue Sep 04 23:30:00 UTC 2012,1,23,1410,14,0,"","","",""
Wed Sep 05 00:00:00 UTC 2012,2,0,0,14,0,"","","",""
Wed Sep 05 00:30:00 UTC 2012,2,0,30,15,0,"","","",""
Wed Sep 05 01:00:00 UTC 2012,2,1,60,15,0,"","","",""
Wed Sep 05 01:30:00 UTC 2012,2,1,90,15,0,"","","",""
Wed Sep 05 02:00:00 UTC 2012,2,2,120,16,0,"","","",""
Wed Sep 05 02:30:00 UTC 2012,2,2,150,14,0,"","","",""
Wed Sep 05 03:00:00 UTC 2012,2,3,180,16,0,"","","",""
Wed Sep 05 03:30:00 UTC 2012,2,3,210,15,0,"","","",""
Wed Sep 05 04:00:00 UTC 2012,2,4,240,17,0,"","","",""
Wed Sep 05 04:30:00 UTC 2012,2,4,270,9,0,"","","",""
Wed Sep 05 05:00:00 UTC 2012,2,5,300,12,0,"","","",""
Wed Sep 05 05:30:00 UTC 2012,2,5,330,13,0,"","","",""
Wed Sep 05 06:00:00 UTC 2012,2,6,360,9,0,"","","",""
Wed Sep 05 06:30:00 UTC 2012,2,6,390,10,0,"","","",""
Wed Sep 05 07:00:00 UTC 2012,2,7,420,10,0,"","","",""
Wed Sep 05 07:30:00 UTC 2012,2,7,450,8,0,"","","",""
Wed Sep 05 08:00:00 UTC 2012,2,8,480,10,0,"","","",""
Wed Sep 05 08:30:00 UTC 2012,2,8,510,10,0,"","","",""
Wed Sep 05 09:00:00 UTC 2012,2,9,540,10,0,"","","",""
Wed Sep 05 09:30:00 UTC 2012,2,9,570,13,0,"","","",""
Wed Sep 05 10:00:00 UTC 2012,2,10,600,14,1,Colleges & Universities=1,University=1,Institut für Informatik=1,University=52.3934664 13.12980378
Wed Sep 05 10:30:00 UTC 2012,2,10,630,13,0,"","","",""
Wed Sep 05 11:00:00 UTC 2012,2,11,660,14,1,Shops & Services=1,Bank=1,OptiFiSt=1,Bank=52.41388561 13.03585768
Wed Sep 05 11:30:00 UTC 2012,2,11,690,14,0,"","","",""
Wed Sep 05 12:00:00 UTC 2012,2,12,720,14,1,Outdoors & Recreation=1,Other Great Outdoors=1,Schwanenwerder=1,Other Great Outdoors=52.44620509 13.17216258
Wed Sep 05 12:30:00 UTC 2012,2,12,750,11,0,"","","",""
Wed Sep 05 13:00:00 UTC 2012,2,13,780,7,0,"","","",""
Wed Sep 05 13:30:00 UTC 2012,2,13,810,11,0,"","","",""
Wed Sep 05 14:00:00 UTC 2012,2,14,840,12,0,"","","",""
Wed Sep 05 14:30:00 UTC 2012,2,14,870,16,1,Colleges & Universities=1,University=1,Universität Potsdam=1,University=52.40121443 13.01218987
Wed Sep 05 15:00:00 UTC 2012,2,15,900,10,0,"","","",""
Wed Sep 05 15:30:00 UTC 2012,2,15,930,15,0,"","","",""
Wed Sep 05 16:00:00 UTC 2012,2,16,960,14,0,"","","",""
Wed Sep 05 16:30:00 UTC 2012,2,16,990,10,0,"","","",""
Wed Sep 05 17:00:00 UTC 2012,2,17,1020,12,0,"","","",""
Wed Sep 05 17:30:00 UTC 2012,2,17,1050,11,0,"","","",""
Wed Sep 05 18:00:00 UTC 2012,2,18,1080,11,0,"","","",""
Wed Sep 05 18:30:00 UTC 2012,2,18,1110,14,0,"","","",""
Wed Sep 05 19:00:00 UTC 2012,2,19,1140,9,0,"","","",""
Wed Sep 05 19:30:00 UTC 2012,2,19,1170,15,0,"","","",""
Wed Sep 05 20:00:00 UTC 2012,2,20,1200,12,0,"","","",""
Wed Sep 05 20:30:00 UTC 2012,2,20,1230,14,0,"","","",""
Wed Sep 05 21:00:00 UTC 2012,2,21,1260,16,0,"","","",""
Wed Sep 05 21:30:00 UTC 2012,2,21,1290,13,0,"","","",""
Wed Sep 05 22:00:00 UTC 2012,2,22,1320,43,0,"","","",""
Wed Sep 05 22:30:00 UTC 2012,2,22,1350,1,0,"","","",""
Wed Sep 05 23:00:00 UTC 2012,2,23,1380,0,0,"","","",""
Wed Sep 05 23:30:00 UTC 2012,2,23,1410,0,0,"","","",""
Thu Sep 06 00:00:00 UTC 2012,3,0,0,0,0,"","","",""
Thu Sep 06 00:30:00 UTC 2012,3,0,30,0,0,"","","",""
Thu Sep 06 01:00:00 UTC 2012,3,1,60,0,0,"","","",""
Thu Sep 06 01:30:00 UTC 2012,3,1,90,16,0,"","","",""
Thu Sep 06 02:00:00 UTC 2012,3,2,120,16,0,"","","",""
Thu Sep 06 02:30:00 UTC 2012,3,2,150,15,0,"","","",""
Thu Sep 06 03:00:00 UTC 2012,3,3,180,14,0,"","","",""
Thu Sep 06 03:30:00 UTC 2012,3,3,210,16,0,"","","",""
Thu Sep 06 04:00:00 UTC 2012,3,4,240,16,0,"","","",""
Thu Sep 06 04:30:00 UTC 2012,3,4,270,11,0,"","","",""
Thu Sep 06 05:00:00 UTC 2012,3,5,300,12,0,"","","",""
Thu Sep 06 05:30:00 UTC 2012,3,5,330,14,0,"","","",""
Thu Sep 06 06:00:00 UTC 2012,3,6,360,9,0,"","","",""
Thu Sep 06 06:30:00 UTC 2012,3,6,390,8,0,"","","",""
Thu Sep 06 07:00:00 UTC 2012,3,7,420,9,0,"","","",""
Thu Sep 06 07:30:00 UTC 2012,3,7,450,8,0,"","","",""
Thu Sep 06 08:00:00 UTC 2012,3,8,480,8,0,"","","",""
Thu Sep 06 08:30:00 UTC 2012,3,8,510,11,1,Travel & Transport=1,Train Station=1,Potsdam Hauptbahnhof=1,Train Station=52.39149915 13.06627393
Thu Sep 06 09:00:00 UTC 2012,3,9,540,10,0,"","","",""
Thu Sep 06 09:30:00 UTC 2012,3,9,570,11,0,"","","",""
Thu Sep 06 10:00:00 UTC 2012,3,10,600,13,0,"","","",""
Thu Sep 06 10:30:00 UTC 2012,3,10,630,14,2,Outdoors & Recreation=1,Other Great Outdoors=1,Potsdam=1_Filmpark Babelsberg=1,Other Great Outdoors=52.38548164 13.11686827
Thu Sep 06 11:00:00 UTC 2012,3,11,660,11,0,"","","",""
Thu Sep 06 11:30:00 UTC 2012,3,11,690,12,0,"","","",""
