longitude,latitude,fsq_venueName,fsq_venueCount
-0.101232,51.325124,Kenley Railway Station Car Park,1
-0.14221072,51.51517251,United Colors of Benetton,1
-0.18382562,51.51341883,The Pavilion Holiday Villa Hotel,1
-0.02074198,51.53121063,Fairfield Bow E3,1
-0.15831172,51.52555058,Regents Park Pond,4
0.01389,51.405566,The Partridge,1
-0.11587143,51.50728672,The Riverfront Bar and Kitchen,2
-0.22153,51.4487403,Tibbets Corner,1
0.00482623,51.48487463,The Crown,4
-0.114844,51.510407,Bar & Co,1
-0.1222913,51.51181,Roadhouse,1
-0.07884622,51.419998,Westow House,1
-0.00820072,51.47945643,Rose and Crown,1
-0.33036232,51.44996863,Twickenham Railway Station (TWI),3
-0.42142868,51.57138842,Ruislip Underground Station,1
-0.39587598,51.48851409,Heston Services,2
-0.02681109,51.51080313,Limehouse Police Station,1
-0.012228,51.591118,Waltham Forest Town Hall Social Club,1
-0.3025613,51.45255408,Angelique's Spot by the River !,1
-0.12114801,51.40753503,Cafe Nomad,1
-0.13666104,51.52303139,Japanese Canteen,2
-0.48726082,51.48483046,British Airways,12
0.0527248,51.46770483,My Sofa @ My House,1
-0.148273,51.570801,Brooksbys,2
-0.13798223,51.54570612,TfL Bus N20,1
-0.13385738,51.50774745,BP Headquarters,1
-0.521184,51.433528,Salesforce.com UK,1
-0.09372711,51.51969237,Barbican Centre,7
-0.146984,51.50703,Tamarind,2
0.02235889,51.50289253,West Silvertown DLR Station,2
-0.41130066,51.41417014,Virgin Active Sunbury,2
-0.176818,51.51147,The Swan,2
-0.168802,51.55694474,Freemason's Arms,3
-0.41388148,51.67059879,London Heathrow,1
-0.157217,51.518456,PrePay Solutions,1
0.052312,51.45067,The Banker's Draft  (Wetherspoon),1
-0.09737014,51.51760338,200 Aldersgate,1
-0.03733635,51.47347121,Goldsmiths New Academic Building,1
-0.13747931,51.50912976,Malta Embassy,1
0.20745277,51.56079779,Hornchurch Sports Centre,3
-0.121039,51.48921847,Vauxhall Gardens Community Centre,1
-0.07160693,51.52474079,Casa Blue,1
-0.30465603,51.51192087,As Nature Intended,1
-0.116663,51.486237,Big Yellow Self Storage,2
-0.50978122,51.34066683,Lads and Dads,1
-0.12173704,51.51931089,Victoria House,2
-0.16226292,51.46317863,The Battersea Music & Mess Hall,1
-0.136376,51.527835,The Exmouth Arms,1
-0.13928546,51.51358237,Carnaby Street,5
-0.07346744,51.53616536,Laburnum boat club,1
-0.13732374,51.52391016,Robert Dyas,2
-0.1381533,51.51457976,PlayStation - SCEE,3
0.25883317,51.46476277,Dartford Crossing,9
-0.46056118,51.47010769,Virgin Atlantic Clubhouse,5
-0.22165775,51.50708639,Oakley,1
-0.11943736,51.51148623,Disney presents THE LION KING,2
-0.08426428,51.50376071,London Bridge (LBG) to Brighton (BTN) Train,1
-0.16809864,51.49051683,Tom's Kitchen,1
-0.48137873,51.34979976,Byfleet & New Haw Railway Station (BFN),2
-0.0911676,51.50852783,Cannon Street,2
0.02753019,51.46182839,Kidbrooke Railway Station (KDB),1
0.07750679,51.53569494,The Broadway Theatre,1
-0.162029,51.491324,Sejour Hair,1
-0.13334908,51.527146,Grant Thornton House,1
-0.12685776,51.43750388,Perfect Blend,4
-0.08116364,51.51628082,Heron Tower,1
-0.058288,51.475445,The French Kingdom,1
-0.140984,51.515566,Miss Selfridge,1
-0.07882216,51.51923961,RBS,4
-0.12688354,51.53350097,Javelin Train,7
0.1284997,51.61324027,Hainault Forest Country Park,1
-0.14383977,51.61592967,Frank's,1
-0.09391455,51.63516375,The Green Dragon,1
-0.08936519,51.51946283,CityPoint,1
0.13364911,51.46355294,Bexleyheath Railway Station (BXH),1
-0.38316408,51.47195053,Hounslow west station bus stop a,1
-0.114743,51.498578,National Dyslexia Assoication (DNA),1
-0.12498021,51.50126964,Portcullis House,3
-0.22384418,51.49353379,Smile For Life Dental Clinic,1
0.01561498,51.57233669,Green Man Roundabout,4
-0.2458054,51.4834307,Leg'O Mutton Reservoir,1
-0.11972347,51.46356506,The Duke of Edinburgh,1
-0.05262576,51.41519902,whateley road,1
-0.0693512,51.31763153,Warlingham School and Sixth Form,1
-0.11671901,51.50650542,Queen Elizabeth Hall,3
-0.31714439,51.34889555,Chessington World of Adventures,3
-0.07050455,51.463845,The Gowlett,1
-0.11071945,51.50381566,Waterloo East Theatre,1
-0.00298954,51.48510045,Crowleys Wharf,1
-0.07827759,51.51894465,Pilpel Falafel,1
-0.129254,51.499592,Magnetise Media,1
-0.10932478,51.51988759,SMWLDN 2012 HQ,3
-0.32196673,51.53654212,Technicolor Perivale Park,2
-0.140689,51.538208,Getty Images,1
0.01720017,51.50601106,Wake Up Docklands,1
-0.04853725,51.49362192,The Yellow House,1
-0.14452815,51.53768056,Capoeira União @ Fitness First Camden,1
-0.1339817,51.50839522,Post Office (inside Ryman's),2
-0.13091159,51.56867072,St Johns Way,1
-0.298739,51.513586,The Sir Michael Balcon (Wetherspoon),1
-0.56134118,51.56099361,Melrose house,1
-0.14430899,51.51408537,Jalouse,2
-0.13638496,51.50935679,Le Méridien Piccadilly,2
-0.149678,51.65711939,Trent Park Café,1
-0.15212427,51.51025105,34 Restaurant,1
-0.10273933,51.52284332,EC1 Noodle Express‎,1
-0.30594447,51.498766,Sam's Great Tasting Chicken,1
