0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2217,1401,964,652,456,420,733,1224,1938,2210,2492,2949,2828,2974,3068,3005,2946,3103,3175,3535,4052,4480,1364,0
2679,1868,1172,746,669,510,571,1383,2160,2241,2727,2959,2962,3010,3341,2915,3059,3262,3625,3808,4231,4605,4597,4099
2516,1583,1020,561,520,406,622,1482,2178,2400,2866,2673,2972,3127,3279,2892,3261,3649,3854,3947,4131,2495,0,0
1175,1605,1150,778,473,454,651,1419,2227,2439,2515,3031,2716,3000,2779,2956,3255,3117,3515,4014,4277,5143,4844,3462
2498,1901,1310,823,722,468,711,1658,2361,2428,2767,2927,2959,3162,3065,3147,3364,3370,3173,3783,3153,4414,4020,3368
2185,1637,1167,989,775,591,536,826,1574,2217,2633,2928,3172,3133,3166,2915,2872,3303,3121,3104,3178,3226,3648,3144
2288,1753,1152,1001,674,464,436,587,1108,1659,2307,2583,2874,2872,2848,2753,2744,1782,2648,3591,4294,5535,6348,3963
