0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3021,3059,2072,1310,780,571,485,663,1101,1697,2369,2614,2858,2956,2753,2892,3123,939,0,3142,4065,3539,3870,3732
3020,2405,1483,981,619,433,620,982,1700,2052,2568,2718,2719,2753,3018,2931,3133,3174,3526,3805,4252,4336,3961,4516
3421,2227,1437,869,446,481,748,1397,1942,2627,2846,3039,3185,3092,3283,3066,1790,0,0,2489,5010,5459,5933,5473
3169,2085,1212,777,385,356,735,1542,2087,2356,2715,2667,2635,2594,2912,3283,3196,3416,3668,4762,7385,7948,6255,5061
3319,2148,1356,860,456,425,800,1521,2003,2363,2610,2950,2658,2557,2816,2503,3211,3608,3265,3075,3722,3796,4132,3968
3479,2618,1843,1026,697,455,373,636,1067,1843,2618,2823,3218,3017,2897,3077,2900,3787,3448,3367,3381,3421,3612,3555
3106,2348,1742,1251,713,519,443,594,948,1678,2413,2828,2031,3374,3461,3363,3455,3443,3593,3813,4282,3929,4288,4264
