time,day,hour,minute,count,fsq_count,CategorieParents,Categories,Venues,Coord
Tue Sep 04 11:30:00 UTC 2012,1,11,690,1,1,Nightlife Spots=1,Beer Garden=1,Herbstfest Flötzinger Festzelt=1,Beer Garden=47.85945376 12.12716516
Tue Sep 04 12:00:00 UTC 2012,1,12,720,1,0,"","","",""
Tue Sep 04 12:30:00 UTC 2012,1,12,750,0,0,"","","",""
Tue Sep 04 13:00:00 UTC 2012,1,13,780,2,2,Outdoors & Recreation=1_Shops & Services=1,Neighborhood=1_Department Store=1,Karstadt Rosenheim=1_Rosenheim=1,Department Store=47.85422812 12.12479711_Neighborhood=47.85631265 12.12897381
Tue Sep 04 13:30:00 UTC 2012,1,13,810,0,0,"","","",""
Tue Sep 04 14:00:00 UTC 2012,1,14,840,2,0,"","","",""
Tue Sep 04 14:30:00 UTC 2012,1,14,870,2,0,"","","",""
Tue Sep 04 15:00:00 UTC 2012,1,15,900,0,0,"","","",""
Tue Sep 04 15:30:00 UTC 2012,1,15,930,0,0,"","","",""
Tue Sep 04 16:00:00 UTC 2012,1,16,960,0,0,"","","",""
Tue Sep 04 16:30:00 UTC 2012,1,16,990,0,0,"","","",""
Tue Sep 04 17:00:00 UTC 2012,1,17,1020,0,0,"","","",""
Tue Sep 04 17:30:00 UTC 2012,1,17,1050,2,1,Arts & Entertainment=1,Theme Park=1,Herbstfest Rosenheim=1,Theme Park=47.85979723 12.12631808
Tue Sep 04 18:00:00 UTC 2012,1,18,1080,0,0,"","","",""
Tue Sep 04 18:30:00 UTC 2012,1,18,1110,0,0,"","","",""
Tue Sep 04 19:00:00 UTC 2012,1,19,1140,1,0,"","","",""
Tue Sep 04 19:30:00 UTC 2012,1,19,1170,0,0,"","","",""
Tue Sep 04 20:00:00 UTC 2012,1,20,1200,1,0,"","","",""
Tue Sep 04 20:30:00 UTC 2012,1,20,1230,0,0,"","","",""
Tue Sep 04 21:00:00 UTC 2012,1,21,1260,0,0,"","","",""
Tue Sep 04 21:30:00 UTC 2012,1,21,1290,5,0,"","","",""
Tue Sep 04 22:00:00 UTC 2012,1,22,1320,0,0,"","","",""
Tue Sep 04 22:30:00 UTC 2012,1,22,1350,0,0,"","","",""
Tue Sep 04 23:00:00 UTC 2012,1,23,1380,0,0,"","","",""
Tue Sep 04 23:30:00 UTC 2012,1,23,1410,0,0,"","","",""
Wed Sep 05 00:00:00 UTC 2012,2,0,0,0,0,"","","",""
Wed Sep 05 00:30:00 UTC 2012,2,0,30,0,0,"","","",""
Wed Sep 05 01:00:00 UTC 2012,2,1,60,0,0,"","","",""
