City;deleted;fsq;insta;tweets
Rosenheim;2;47;9;175
Cupertino;18;163;132;1857
Potsdam;5;76;14;413
Menlo Park;85;655;611;6256
München;133;1098;606;10541
Berlin;458;3195;2007;25752
Sanfrancisco;1958;6947;8784;113876
London;7943;14245;18686;392581
NewYork;7023;33935;39171;385275
