0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
56,82,42,3,12,7,23,14,51,85,62,101,90,90,65,56,63,99,89,137,119,160,145,35
0,88,37,7,4,5,26,27,64,88,106,94,96,86,95,110,96,80,146,113,176,137,162,167
121,52,47,29,26,17,18,36,61,89,68,63,99,90,92,87,78,80,143,134,107,129,73,0
0,32,61,17,10,11,22,45,74,78,68,60,73,68,98,112,88,96,84,95,89,84,130,134
87,31,48,18,7,16,50,50,59,80,107,95,96,93,83,104,79,83,103,71,143,149,164,88
71,48,25,16,7,29,20,23,50,49,78,78,106,84,71,120,73,94,86,85,93,75,62,75
46,34,24,11,7,8,12,12,27,41,61,44,55,63,68,84,99,59,44,61,83,95,134,50
