time,count,fsq_count,CategorieParents,Categories
Tue Sep 04 20:00:00 UTC 2012,1256,65,Shops & Services=11_Arts & Entertainment=11_Music Venues=6,Seafood Restaurant=3_Gym=3_Baseball Stadium=3
Tue Sep 04 21:00:00 UTC 2012,1058,43,Nightlife Spots=10_Travel & Transport=8_Shops & Services=4,Bar=3_Pizza Place=2_Home (private)=2
Tue Sep 04 22:00:00 UTC 2012,805,25,Nightlife Spots=7_Travel & Transport=6_Colleges & Universities=1,Hotel=3_Tea Room=2_Antique Shop=1
Tue Sep 04 23:00:00 UTC 2012,529,12,Nightlife Spots=4_Residences=2_Food=1,Embassy / Consulate=1_Home (private)=1_Baseball Field=1
Wed Sep 05 00:00:00 UTC 2012,273,9,Nightlife Spots=3_Travel & Transport=2_Airports=1,Burger Joint=1_Airport=1_Cocktail Bar=1
Wed Sep 05 01:00:00 UTC 2012,203,4,Food=1_Residences=1,Home (private)=1_Ice Cream Shop=1
Wed Sep 05 02:00:00 UTC 2012,147,2,Nightlife Spots=1,Café=1
Wed Sep 05 03:00:00 UTC 2012,112,1,"",""
Wed Sep 05 04:00:00 UTC 2012,137,1,"",""
Wed Sep 05 05:00:00 UTC 2012,238,4,Airports=2_Food=1,Airport=1_Coffee Shop=1
Wed Sep 05 06:00:00 UTC 2012,291,14,Food=4_Professional & Other Places=2_Offices=2,Airport=2_Tech Startup=2_Train Station=1
Wed Sep 05 07:00:00 UTC 2012,368,30,Professional & Other Places=6_Food=5_Travel & Transport=4,Building=2_Professional & Other Places=2_Other Great Outdoors=2
Wed Sep 05 08:00:00 UTC 2012,748,41,Colleges & Universities=10_Travel & Transport=8_Professional & Other Places=8,Office=4_College Theater=3_Airport=3
Wed Sep 05 09:00:00 UTC 2012,860,45,Travel & Transport=12_Offices=8_Food=6,Airport=6_Office=5_Coffee Shop=2
Wed Sep 05 10:00:00 UTC 2012,837,47,Travel & Transport=10_Professional & Other Places=8_Shops & Services=8,Office=5_Airport=4_Café=2
